state,constituency,party,name,age,category,gender,votes,polled_votes,year,poll_date,education,assets,criminal_cases,color
Uttar Pradesh,Maharajganj,Bharatiya Janata Party,PANKAJ,44,GEN,Male,471542,1902732,2014,12-05-2014,12th,191819151,0,#FB7B0D
Uttar Pradesh,Hamirpur,Bharatiya Janata Party,KUNWAR PUSHPENDRA SINGH CHANDEL,40,GEN,Male,453884,1810445,2014,30-04-2014,Post Graduate,71265181,1,#FB7B0D
Maharashtra,Aurangabad,Shivsena,CHANDRAKANT BHAURAO KHAIRE,62,GEN,Male,520902,1769207,2014,24-04-2014,12th,90614560,8,#F05A00
Andhra Pradesh,Malkajgiri,Telugu Desam,CH.MALLA REDDY,56,GEN,Male,523336,1620397,2014,30-04-2014,12th,488525332,0,#4bacc6
Assam,Gauhati,Bharatiya Janata Party,BIJOYA CHAKRAVARTY,75,GEN,Female,764985,1511729,2014,24-04-2014,Post Graduate,12574493,0,#FB7B0D
Karnataka,Bangalore Rural,Indian National Congress,D K SURESH,47,GEN,Male,652723,1455244,2014,17-04-2014,12th,858713138,7,#019733
Assam,Dhubri,All India United Democratic Front,BADRUDDIN AJMAL,50,GEN,Male,592569,1369624,2014,24-04-2014,Others,432748134,1,#999
West Bengal,Ghatal,All India Trinamool Congress,ADHIKARI DEEPAK (DEV),32,GEN,Male,685696,1366709,2014,12-05-2014,10th,152447159,0,#0C6965
West Bengal,Arambagh,All India Trinamool Congress,APARUPA PODDAR (AFRIN ALI),28,GEN,Female,748764,1361934,2014,30-04-2014,Post Graduate,3271869,0,#0C6965
Karnataka,Bangalore North,Bharatiya Janata Party,D.V SADANANDA GOWDA,61,GEN,Male,718326,1356718,2014,17-04-2014,Graduate Professional,98888874,0,#FB7B0D
Nct Of Delhi,North West Delhi,Bharatiya Janata Party,UDIT RAJ,56,GEN,Male,629860,1356036,2014,10-04-2014,Doctorate,44902363,1,#FB7B0D
West Bengal,Ranaghat,All India Trinamool Congress,TAPAS MANDAL,42,GEN,Male,590451,1353196,2014,12-05-2014,Doctorate,8169115,0,#0C6965
West Bengal,Hooghly,All India Trinamool Congress,DR. RATNA DE (NAG),62,GEN,Female,614312,1348870,2014,30-04-2014,Post Graduate,18617758,0,#0C6965
Nct Of Delhi,West Delhi,Bharatiya Janata Party,PARVESH SAHIB SINGH VERMA,36,GEN,Male,651395,1347971,2014,10-04-2014,Post Graduate,107235461,1,#FB7B0D
Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,VIJAY KUMAR SINGH,62,GEN,Male,758482,1342320,2014,10-04-2014,Doctorate,41137044,2,#FB7B0D
West Bengal,Tamluk,All India Trinamool Congress,ADHIKARI SUVENDU,44,GEN,Male,716928,1337684,2014,12-05-2014,Post Graduate,6480767,2,#0C6965
West Bengal,Cooch Behar,All India Trinamool Congress,RENUKA SINHA,65,GEN,Female,526499,1332409,2014,17-04-2014,Graduate Professional,13017282,0,#0C6965
West Bengal,Burdwan - Durgapur,All India Trinamool Congress,DR. MAMTAZ SANGHAMITA,68,GEN,Female,554521,1331242,2014,30-04-2014,Post Graduate,107680000,0,#0C6965
West Bengal,Bardhaman Purba,All India Trinamool Congress,SUNIL KUMAR MONDAL,55,GEN,Male,574660,1320922,2014,30-04-2014,Graduate Professional,11841000,0,#0C6965
Uttar Pradesh,Jhansi,Bharatiya Janata Party,UMA BHARATI,55,GEN,Female,575889,1320804,2014,30-04-2014,5th,14376218,13,#FB7B0D
Haryana,Gurgaon,Bharatiya Janata Party,INDERJIT SINGH RAO,64,GEN,Male,644780,1320619,2014,10-04-2014,Graduate Professional,250698763,0,#FB7B0D
Nct Of Delhi,North East Delhi,Bharatiya Janata Party,MANOJ TIWARI,43,GEN,Male,596125,1317338,2014,10-04-2014,Post Graduate,199483924,0,#FB7B0D
Madhya Pradesh,Indore,Bharatiya Janata Party,SUMITRA MAHAJAN (TAI),70,GEN,Female,854972,1316817,2014,24-04-2014,Post Graduate,18732234,0,#FB7B0D
Andhra Pradesh,Chelvella,Telangana Rashtra Samithi,KONDA VISHWESHWAR REDDY,54,GEN,Male,435077,1315862,2014,30-04-2014,Post Graduate,5286230210,0,#999
West Bengal,Bolpur,All India Trinamool Congress,ANUPAM HAZRA,32,GEN,Male,630693,1304756,2014,30-04-2014,Doctorate,4866883,0,#0C6965
West Bengal,Jalpaiguri,All India Trinamool Congress,BIJOY CHANDRA BARMAN,57,GEN,Male,494773,1302117,2014,17-04-2014,Post Graduate,9396430,0,#0C6965
Rajasthan,Jaipur,Bharatiya Janata Party,RAMCHARAN BOHARA,56,GEN,Male,863358,1296806,2014,17-04-2014,12th,135809546,0,#FB7B0D
West Bengal,Kanthi,All India Trinamool Congress,ADHIKARI SISIR KUMAR,74,GEN,Male,676749,1290811,2014,12-05-2014,12th,19498381,1,#0C6965
West Bengal,Srerampur,All India Trinamool Congress,KALYAN BANERJEE,57,GEN,Male,514933,1290433,2014,30-04-2014,Graduate Professional,88512676,1,#0C6965
West Bengal,Murshidabad,Communist Party of India  (Marxist),BADARUDDOZA KHAN,59,GEN,Male,426947,1287763,2014,24-04-2014,Graduate,2758610,0,#DE0000
Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,"RAMACHANDRAN, K.N. THIRU",59,GEN,Male,545820,1286647,2014,24-04-2014,Post Graduate,936721057,0,#9DBC2A
West Bengal,Bangaon,All India Trinamool Congress,KAPIL KRISHNA THAKUR,73,GEN,Male,551213,1283688,2014,12-05-2014,Graduate,9667890,0,#0C6965
Andhra Pradesh,Narasaraopet,Telugu Desam,SAMBASIVA RAO RAYAPATI,70,GEN,Male,632464,1282058,2014,07-05-2014,Graduate,595838093,2,#4bacc6
Haryana,Sirsa,Indian National Lok Dal,CHARANJEET SINGH RORI,43,GEN,Male,506370,1279105,2014,10-04-2014,10th,8146887,0,#999
West Bengal,Birbhum,All India Trinamool Congress,SATABDI ROY,45,GEN,Female,460568,1275819,2014,30-04-2014,Graduate,54972174,0,#0C6965
West Bengal,Basirhat,All India Trinamool Congress,IDRIS ALI,64,GEN,Male,492326,1273771,2014,12-05-2014,Graduate Professional,9800277,9,#0C6965
West Bengal,Jadavpur,All India Trinamool Congress,SUGATA BOSE,57,GEN,Male,584244,1272362,2014,12-05-2014,Doctorate,46315770,0,#0C6965
West Bengal,Bishnupur,All India Trinamool Congress,KHAN SAUMITRA,34,GEN,Male,578870,1272070,2014,07-05-2014,12th,1197255,1,#0C6965
West Bengal,Barasat,All India Trinamool Congress,DR. KAKALI GHOSHDOSTIDAR,55,GEN,Female,525387,1269331,2014,12-05-2014,Graduate Professional,31254311,0,#0C6965
West Bengal,Mathurapur,All India Trinamool Congress,CHOUDHURY MOHAN JATUA,75,GEN,Male,627761,1265531,2014,12-05-2014,Post Graduate,4857752,0,#0C6965
Karnataka,Chikkballapur,Indian National Congress,M VEERAPPA MOILY,74,GEN,Male,424800,1263274,2014,17-04-2014,Graduate Professional,137366682,0,#019733
West Bengal,Diamond Harbour,All India Trinamool Congress,ABHISHEK BANERJEE,26,GEN,Male,508481,1261296,2014,12-05-2014,Post Graduate,15199272,0,#0C6965
Maharashtra,Kolhapur,Nationalist Congress Party,DHANANJAY BHIMRAO MAHADIK,42,GEN,Male,607665,1260289,2014,17-04-2014,Graduate,448882000,1,#999
West Bengal,Medinipur,All India Trinamool Congress,SANDHYA ROY,73,GEN,Female,579860,1260032,2014,07-05-2014,Literate,31031095,0,#0C6965
Chhattisgarh,Durg,Indian National Congress,TAMRADHWAJ SAHU,65,GEN,Male,570687,1258342,2014,24-04-2014,12th,21002226,0,#019733
West Bengal,Jhargram,All India Trinamool Congress,UMA SAREN,30,GEN,Female,674504,1257613,2014,07-05-2014,Graduate Professional,499646,0,#0C6965
Madhya Pradesh,Khandwa,Bharatiya Janata Party,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),61,GEN,Male,717357,1257327,2014,24-04-2014,Post Graduate,40188989,0,#FB7B0D
Rajasthan,Ganganagar,Bharatiya Janata Party,NIHALCHAND,43,GEN,Male,658130,1256806,2014,17-04-2014,Graduate,10861172,0,#FB7B0D
Tamil Nadu,Thiruvallur,All India Anna Dravida Munnetra Kazhagam,VENUGOPAL.P.(DR),61,GEN,Male,628499,1254440,2014,24-04-2014,Graduate Professional,28643502,0,#9DBC2A
Jammu & Kashmir,Jammu,Bharatiya Janata Party,JUGAL KISHORE,51,GEN,Male,619995,1253593,2014,10-04-2014,10th,26824308,0,#FB7B0D
Chhattisgarh,Raipur,Bharatiya Janata Party,RAMESH BAIS,66,GEN,Male,654922,1250845,2014,24-04-2014,12th,73190135,0,#FB7B0D
West Bengal,Krishnanagar,All India Trinamool Congress,TAPAS PAUL,57,GEN,Male,438789,1247914,2014,12-05-2014,Graduate,27829669,4,#0C6965
Chhattisgarh,Raigarh,Bharatiya Janata Party,VISHNU DEO SAI,50,GEN,Male,662478,1246186,2014,24-04-2014,10th,21576220,0,#FB7B0D
Andhra Pradesh,Guntur,Telugu Desam,JAYADEV GALLA,48,GEN,Male,618417,1244926,2014,07-05-2014,Graduate,6830581361,0,#4bacc6
West Bengal,Bankura,All India Trinamool Congress,SREEMATI  DEV VARMA (MOON MOON SEN),60,GEN,Female,483455,1236319,2014,07-05-2014,Post Graduate,15314000,0,#0C6965
Assam,Mangaldoi,Bharatiya Janata Party,RAMEN DEKA,59,GEN,Male,486357,1233237,2014,24-04-2014,Graduate,14782357,0,#FB7B0D
Maharashtra,Beed,Bharatiya Janata Party,MUNDE GOPINATHRAO PANDURANG,66,GEN,Male,635995,1232202,2014,17-04-2014,Graduate Professional,380072890,3,#FB7B0D
Assam,Nowgong,Bharatiya Janata Party,RAJEN GOHAIN,63,GEN,Male,494146,1230074,2014,24-04-2014,Graduate Professional,24736544,1,#FB7B0D
Assam,Kokrajhar,Independent,NABA KUMAR SARANIA (HIRA),53,GEN,Male,634428,1223869,2014,24-04-2014,Graduate,21117979,0,#95b3d7
West Bengal,Alipurduars,All India Trinamool Congress,DASRATH TIRKEY,47,GEN,Male,362453,1223566,2014,17-04-2014,Graduate,3550353,0,#0C6965
Rajasthan,Barmer,Bharatiya Janata Party,COL. SONA RAM,73,GEN,Male,488747,1219119,2014,17-04-2014,Graduate Professional,174678454,1,#FB7B0D
Haryana,Ambala,Bharatiya Janata Party,RATTAN LAL KATARIA,62,GEN,Male,612121,1218995,2014,10-04-2014,Post Graduate,42150634,0,#FB7B0D
Madhya Pradesh,Mandla,Bharatiya Janata Party,FAGGAN SINGH KULASTE,54,GEN,Male,585720,1218518,2014,10-04-2014,Post Graduate,25738420,2,#FB7B0D
Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,VARAPRASAD RAO VELAGAPALLI,61,GEN,Male,580376,1213064,2014,07-05-2014,Doctorate,129128388,0,#999
Andhra Pradesh,Bhongir,Telangana Rashtra Samithi,DR. BOORA NARSAIAH GOUD,55,GEN,Male,448245,1211943,2014,30-04-2014,Post Graduate,202983225,0,#999
Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,Y.V.SUBBA REDDY,53,GEN,Male,589960,1208225,2014,07-05-2014,Post Graduate,735451548,0,#999
Karnataka,Dakshina Kannada,Bharatiya Janata Party,NALIN KUMAR KATEEL,48,GEN,Male,642739,1207474,2014,17-04-2014,10th,8789001,1,#FB7B0D
Gujarat,Bardoli,Bharatiya Janata Party,VASAVA PARBHUBHAI NAGARBHAI,44,GEN,Male,622769,1206179,2014,30-04-2014,Others,15909957,1,#FB7B0D
Assam,Barpeta,All India United Democratic Front,SIRAJ UDDIN AJMAL,57,GEN,Male,394702,1205863,2014,24-04-2014,Graduate,670806607,0,#999
Andhra Pradesh,Anantapur,Telugu Desam,J.C. DIVAKAR REDDI,70,GEN,Male,606509,1205054,2014,07-05-2014,12th,226481020,0,#4bacc6
Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,S.P.Y REDDY,64,GEN,Male,622411,1204956,2014,07-05-2014,Graduate,219578079,2,#999
West Bengal,Purulia,All India Trinamool Congress,DR. MRIGANKA MAHATO,51,GEN,Male,468277,1204675,2014,07-05-2014,Graduate Professional,8895210,0,#0C6965
Andhra Pradesh,Eluru,Telugu Desam,MAGANTI VENKATESWARA RAO (BABU),54,GEN,Male,623471,1201696,2014,07-05-2014,10th,129394729,2,#4bacc6
Uttar Pradesh,Unnao,Bharatiya Janata Party,SWAMI SACHCHIDANAND HARI SAKSHI,58,GEN,Male,518834,1201603,2014,30-04-2014,Doctorate,32137597,8,#FB7B0D
Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Y.S. AVINASH REDDY,29,GEN,Male,671983,1200662,2014,07-05-2014,Post Graduate,70480623,1,#999
Uttar Pradesh,Gautam Buddha Nagar,Bharatiya Janata Party,DR.MAHESH  SHARMA,54,GEN,Male,599702,1199238,2014,10-04-2014,Graduate Professional,473797545,0,#FB7B0D
Andhra Pradesh,Chittoor,Telugu Desam,NARAMALLI SIVAPRASAD,62,GEN,Male,594862,1198915,2014,07-05-2014,Graduate Professional,14878003,0,#4bacc6
Maharashtra,Bhandara - Gondiya,Bharatiya Janata Party,NANABHAU FALGUNRAO PATOLE,51,GEN,Male,606129,1197196,2014,10-04-2014,12th,12738190,5,#FB7B0D
Nct Of Delhi,East Delhi,Bharatiya Janata Party,MAHEISH GIRRI,39,GEN,Male,572202,1196336,2014,10-04-2014,10th,5216375,1,#FB7B0D
Andhra Pradesh,Vijayawada,Telugu Desam,KESINENI SRINIVAS,48,GEN,Male,592696,1195075,2014,07-05-2014,10th,1284122669,3,#4bacc6
Uttar Pradesh,Saharanpur,Bharatiya Janata Party,RAGHAV LAKHANPAL,39,GEN,Male,472999,1194308,2014,10-04-2014,Post Graduate,35406431,0,#FB7B0D
Haryana,Karnal,Bharatiya Janata Party,ASHWINI KUMAR,57,GEN,Male,594817,1193500,2014,10-04-2014,Graduate,698638135,6,#FB7B0D
Rajasthan,Udaipur,Bharatiya Janata Party,ARJUNLAL MEENA,49,GEN,Male,660373,1193202,2014,17-04-2014,Post Graduate,17049951,0,#FB7B0D
Karnataka,Mandya,Janata Dal  (Secular),C.S.PUTTARAJU,50,GEN,Male,524370,1192638,2014,17-04-2014,12th,45209196,0,#8064a2
Andhra Pradesh,Medak,Telangana Rashtra Samithi,KALVAKUNTLA CHANDRASEKHAR RAO,60,GEN,Male,657492,1191096,2014,30-04-2014,Graduate,151582464,2,#999
Andhra Pradesh,Nalgonda,Indian National Congress,GUTHA SUKHENDER REDDY,60,GEN,Male,472093,1189399,2014,30-04-2014,12th,85907866,1,#019733
Maharashtra,Hatkanangle,Swabhimani Paksha,RAJU SHETTY,46,GEN,Male,640428,1188871,2014,17-04-2014,10th,16152914,12,#999
Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,MEKAPATI RAJAMOHAN REDDY,69,GEN,Male,576396,1187648,2014,07-05-2014,Graduate Professional,361746068,2,#999
Chhattisgarh,Sarguja,Bharatiya Janata Party,KAMALBHAN SINGH MARABI,51,GEN,Male,585336,1187321,2014,24-04-2014,Post Graduate,24773173,0,#FB7B0D
West Bengal,Joynagar,All India Trinamool Congress,PRATIMA MONDAL,48,GEN,Female,494746,1186052,2014,12-05-2014,Post Graduate,10614252,0,#0C6965
West Bengal,Uluberia,All India Trinamool Congress,SULTAN AHMED,58,GEN,Male,570785,1186027,2014,30-04-2014,Graduate,22792936,0,#0C6965
Andhra Pradesh,Bapatla,Telugu Desam,MALYADRI SRIRAM,60,GEN,Male,578145,1184634,2014,07-05-2014,Post Graduate,45359744,0,#4bacc6
Andhra Pradesh,Khammam,Yuvajana Sramika Rythu Congress Party,PONGULETI  SRINIVASA REDDY,48,GEN,Male,421957,1182897,2014,30-04-2014,12th,346150516,0,#999
Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,ABHISHEK SINGH,33,GEN,Male,643473,1178296,2014,17-04-2014,Graduate Professional,44093207,0,#FB7B0D
Andhra Pradesh,Hindupur,Telugu Desam,KRISTAPPA NIMMALA,57,GEN,Male,604291,1177257,2014,07-05-2014,Graduate,35793637,2,#4bacc6
Punjab,Bathinda,Shiromani Akali Dal,HARSIMRAT KAUR BADAL,47,GEN,Female,514727,1176767,2014,30-04-2014,10th,1081664910,0,#999
Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,"NAGARAJAN, P.",52,GEN,Male,431717,1176620,2014,24-04-2014,Graduate Professional,34306545,0,#9DBC2A
Uttarakhand,Hardwar,Bharatiya Janata Party,RAMESH POKHRIYAL NISHANK,54,GEN,Male,592320,1175692,2014,07-05-2014,Doctorate,17917274,1,#FB7B0D
Andhra Pradesh,Warangal,Telangana Rashtra Samithi,KADIYAM SRIHARI,63,GEN,Male,661639,1174631,2014,30-04-2014,Post Graduate,13495000,6,#999
Maharashtra,Maval,Shivsena,APPA ALIAS SHRIRANG CHANDU BARNE,50,GEN,Male,512226,1174335,2014,17-04-2014,8th,665047926,2,#F05A00
Rajasthan,Chittorgarh,Bharatiya Janata Party,CHANDRA PRAKASH JOSHI,38,GEN,Male,703236,1172629,2014,17-04-2014,Graduate,14134693,0,#FB7B0D
Rajasthan,Banswara,Bharatiya Janata Party,MANSHANKAR NINAMA,58,GEN,Male,577433,1171188,2014,17-04-2014,8th,4040285,0,#FB7B0D
Odisha,Bolangir,Biju Janata Dal,KALIKESH NARAYAN SINGH DEO,39,GEN,Male,453519,1170405,2014,10-04-2014,Graduate,87955818,3,#000000
West Bengal,Kolkata Dakshin,All India Trinamool Congress,SUBRATA BAKSHI,64,GEN,Male,431715,1167979,2014,12-05-2014,Graduate Professional,10265428,0,#0C6965
Assam,Kaliabor,Indian National Congress,GOURAV GOGOI,31,GEN,Male,443315,1166490,2014,07-04-2014,Post Graduate,5473199,0,#019733
Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,KAMBHAMPATI HARI BABU,60,GEN,Male,566832,1163558,2014,07-05-2014,Doctorate,90103580,0,#FB7B0D
West Bengal,Maldaha Uttar,Indian National Congress,MAUSAM NOOR,34,GEN,Female,388609,1162985,2014,24-04-2014,Graduate Professional,9778222,0,#019733
Maharashtra,Parbhani,Shivsena,JADHAV SANJAY (BANDU) HARIBHAU,47,GEN,Male,578455,1162233,2014,17-04-2014,10th,31016711,7,#F05A00
Gujarat,Vadodara,Bharatiya Janata Party,NARENDRA MODI,63,GEN,Male,845464,1161577,2014,30-04-2014,Post Graduate,15157582,0,#FB7B0D
Madhya Pradesh,Mandsour,Bharatiya Janata Party,SUDHIR GUPTA,54,GEN,Male,698335,1161349,2014,24-04-2014,Post Graduate,57429237,0,#FB7B0D
Gujarat,Navsari,Bharatiya Janata Party,C. R. PATIL,59,GEN,Male,820831,1160747,2014,30-04-2014,10th,744761133,7,#FB7B0D
Karnataka,Mysore,Bharatiya Janata Party,PRATHAP SIMHA,37,GEN,Male,503908,1159594,2014,17-04-2014,Post Graduate,6321591,0,#FB7B0D
Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,P.V.MIDHUN REDDY,36,GEN,Male,601752,1158317,2014,07-05-2014,Post Graduate,225984036,1,#999
Rajasthan,Ajmer,Bharatiya Janata Party,SANWAR LAL JAT,59,GEN,Male,637874,1156314,2014,17-04-2014,Doctorate,18064656,0,#FB7B0D
Haryana,Hisar,Indian National Lok Dal,DUSHYANT CHAUTALA,26,GEN,Male,494478,1155914,2014,10-04-2014,Graduate,361326990,0,#999
Rajasthan,Kota,Bharatiya Janata Party,OM BIRLA,51,GEN,Male,644822,1154960,2014,17-04-2014,Post Graduate,25870497,2,#FB7B0D
West Bengal,Baharampur,Indian National Congress,ADHIR RANJAN CHOWDHURY,58,GEN,Male,583549,1154587,2014,12-05-2014,10th,81465854,16,#019733
Andhra Pradesh,Rajahmundry,Telugu Desam,MURALI MOHAN MAGANTI,73,GEN,Male,630573,1154381,2014,07-05-2014,12th,180822216,1,#4bacc6
Madhya Pradesh,Khargone,Bharatiya Janata Party,SUBHASH PATEL,36,GEN,Male,649354,1152525,2014,24-04-2014,Post Graduate,36138699,0,#FB7B0D
Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,PANNERSELVAM.V,55,GEN,Male,556546,1150296,2014,24-04-2014,Graduate Professional,32268097,0,#9DBC2A
Andhra Pradesh,Anakapalli,Telugu Desam,MUTTAMSETTI SRINIVASA RAO (AVANTHI),47,GEN,Male,568463,1148072,2014,07-05-2014,Illiterate,213294327,1,#4bacc6
Karnataka,Hassan,Janata Dal  (Secular),H.D. DEVEGOWDA,81,GEN,Male,509841,1147172,2014,17-04-2014,Graduate Professional,42721242,0,#8064a2
Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,DUSHYANT SINGH,43,GEN,Male,676102,1146364,2014,17-04-2014,Post Graduate,239006838,0,#FB7B0D
Madhya Pradesh,Dewas,Bharatiya Janata Party,MANOHAR UNTWAL,47,GEN,Male,665646,1143968,2014,24-04-2014,12th,6336490,0,#FB7B0D
Jharkhand,Dhanbad,Bharatiya Janata Party,PASHUPATI NATH SINGH,65,GEN,Male,543491,1143902,2014,24-04-2014,Graduate,24248150,1,#FB7B0D
West Bengal,Asansol,Bharatiya Janata Party,BABUL SUPRIYA BARAL (BABUL SUPRIYO),44,GEN,Male,419983,1142395,2014,07-05-2014,Graduate,75289537,0,#FB7B0D
West Bengal,Darjeeling,Bharatiya Janata Party,S.S.AHLUWALIA,63,GEN,Male,488257,1142009,2014,17-04-2014,Graduate Professional,23377223,0,#FB7B0D
Andhra Pradesh,Machilipatnam,Telugu Desam,KONAKALLA NARAYANA RAO,64,GEN,Male,587280,1141065,2014,07-05-2014,12th,34850000,0,#4bacc6
Odisha,Kendrapara,Biju Janata Dal,BAIJAYANT PANDA,50,GEN,Male,601574,1140999,2014,17-04-2014,Graduate Professional,312432726,0,#000000
Haryana,Kurukshetra,Bharatiya Janata Party,RAJ KUMAR SAINI,60,GEN,Male,418112,1135892,2014,10-04-2014,Graduate,132880476,0,#FB7B0D
Gujarat,Gandhinagar,Bharatiya Janata Party,L.K.ADVANI,86,GEN,Male,773539,1135495,2014,30-04-2014,Graduate Professional,75915276,1,#FB7B0D
Karnataka,Chamarajanagar,Indian National Congress,R. DHRUVANARAYANA,53,GEN,Male,567782,1133029,2014,17-04-2014,Graduate,31519950,0,#019733
