age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#DE0000,,M B RAJESH,Communist Party of India  (Marxist),PALAKKAD,910322,1,,Kerala,412897,2014
,,#DE0000,,P.K.BIJU,Communist Party of India  (Marxist),ALATHUR,927228,1,,Kerala,411808,2014
,,#DE0000,,C. N. JAYADEVAN,Communist Party of India,THRISSUR,920505,1,,Kerala,389209,2014
,,#95b3d7,,INNOCENT,Independent,CHALAKUDY,884033,1,,Kerala,358440,2014
,,#019733,,PROF. K.V. THOMAS,Indian National Congress,ERNAKULAM,850834,1,,Kerala,353841,2014
,,#95b3d7,,ADV.JOICE GEORGE,Independent,IDUKKI,819766,1,,Kerala,382019,2014
,,#999,,JOSE K. MANI,Kerala Congress  (M),KOTTAYAM,831636,1,,Kerala,424194,2014
,,#019733,,K C VENUGOPAL,Indian National Congress,ALAPPUZHA,997464,1,,Kerala,462525,2014
,,#019733,,KODIKUNNIL SURESH,Indian National Congress,MAVELIKKARA,889060,1,,Kerala,402432,2014
,,#019733,,ANTO ANTONY,Indian National Congress,PATHANAMTHITTA,869452,1,,Kerala,358842,2014
,,#999,,N.K.PREMACHANDRAN,Revolutionary Socialist Party,KOLLAM,879056,1,,Kerala,408528,2014
,,#DE0000,,DR.A .SAMPATH,Communist Party of India  (Marxist),ATTINGAL,859350,1,,Kerala,392478,2014
,,#019733,,DR. SHASHI THAROOR,Indian National Congress,THIRUVANANTHAPURAM,873439,1,,Kerala,297806,2014
,,#FB7B0D,,ANOOP MISHRA,Bharatiya Janata Party,MORENA,854279,1,,Madhya Pradesh,375567,2014
,,#FB7B0D,,DR. BHAGIRATH PRASAD,Bharatiya Janata Party,BHIND,729084,1,,Madhya Pradesh,404474,2014
,,#FB7B0D,,NARENDRA SINGH TOMAR,Bharatiya Janata Party,GWALIOR,990912,1,,Madhya Pradesh,442796,2014
,,#019733,,JYOTIRADITYA M SCINDIA,Indian National Congress,GUNA,976629,1,,Madhya Pradesh,517036,2014
,,#FB7B0D,,LAXMI NARAYAN YADAV,Bharatiya Janata Party,SAGAR,891929,1,,Madhya Pradesh,482580,2014
,,#FB7B0D,,DR. VIRENDRA KUMAR,Bharatiya Janata Party,TIKAMGARH,766321,1,,Madhya Pradesh,422979,2014
,,#FB7B0D,,PRAHALAD SINGH PATEL,Bharatiya Janata Party,DAMOH,912080,1,,Madhya Pradesh,513079,2014
,,#FB7B0D,,NAGENDRA SINGH,Bharatiya Janata Party,KHAJURAHO,874477,1,,Madhya Pradesh,474966,2014
,,#FB7B0D,,GANESH SINGH,Bharatiya Janata Party,SATNA,913444,1,,Madhya Pradesh,375288,2014
,,#FB7B0D,,JANARDAN MISHRA,Bharatiya Janata Party,REWA,830002,1,,Madhya Pradesh,383320,2014
,,#FB7B0D,,RITI PATHAK,Bharatiya Janata Party,SIDHI,989396,1,,Madhya Pradesh,475678,2014
,,#FB7B0D,,DALPAT SINGH PARASTE,Bharatiya Janata Party,SHAHDOL,968518,1,,Madhya Pradesh,525419,2014
,,#FB7B0D,,RAKESH SINGH,Bharatiya Janata Party,JABALPUR,1002184,1,,Madhya Pradesh,564609,2014
,,#FB7B0D,,FAGGAN SINGH KULASTE,Bharatiya Janata Party,MANDLA,1218518,1,,Madhya Pradesh,585720,2014
,,#FB7B0D,,BODHSINGH BHAGAT,Bharatiya Janata Party,BALAGHAT,1113364,1,,Madhya Pradesh,480594,2014
,,#019733,,KAMAL NATH,Indian National Congress,CHHINDWARA,1107498,1,,Madhya Pradesh,559755,2014
,,#FB7B0D,,UDAY PRATAP SINGH,Bharatiya Janata Party,HOSHANGABAD,1031175,1,,Madhya Pradesh,669128,2014
,,#FB7B0D,,SUSHMA SWARAJ,Bharatiya Janata Party,VIDISHA,1073473,1,,Madhya Pradesh,714348,2014
,,#FB7B0D,,ALOK SANJAR,Bharatiya Janata Party,BHOPAL,1130182,1,,Madhya Pradesh,714178,2014
,,#FB7B0D,,RODMAL NAGAR,Bharatiya Janata Party,RAJGARH,1010724,1,,Madhya Pradesh,596727,2014
,,#FB7B0D,,MANOHAR UNTWAL,Bharatiya Janata Party,DEWAS,1143968,1,,Madhya Pradesh,665646,2014
,,#FB7B0D,,PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party,UJJAIN,1016405,1,,Madhya Pradesh,641101,2014
,,#FB7B0D,,SUDHIR GUPTA,Bharatiya Janata Party,MANDSOUR,1161349,1,,Madhya Pradesh,698335,2014
,,#FB7B0D,,DILEEPSINGH BHURIA,Bharatiya Janata Party,RATLAM,1082681,1,,Madhya Pradesh,545970,2014
,,#FB7B0D,,SAVITRI THAKUR,Bharatiya Janata Party,DHAR,1076816,1,,Madhya Pradesh,558387,2014
,,#FB7B0D,,SUMITRA MAHAJAN (TAI),Bharatiya Janata Party,INDORE,1316817,1,,Madhya Pradesh,854972,2014
,,#FB7B0D,,SUBHASH PATEL,Bharatiya Janata Party,KHARGONE,1152525,1,,Madhya Pradesh,649354,2014
,,#FB7B0D,,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,KHANDWA,1257327,1,,Madhya Pradesh,717357,2014
,,#FB7B0D,,JYOTI DHURVE,Bharatiya Janata Party,BETUL,1047719,1,,Madhya Pradesh,643651,2014
,,#FB7B0D,,DR.GAVIT HEENA VAIJAYKUMAR,Bharatiya Janata Party,NANDURBAR,1116676,1,,Maharashtra,579486,2014
,,#FB7B0D,,DR. BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,DHULE,983083,1,,Maharashtra,529450,2014
,,#FB7B0D,,A.T. NANA PATIL,Bharatiya Janata Party,JALGAON,990332,1,,Maharashtra,647773,2014
,,#FB7B0D,,KHADASE RAKSHA NIKHIL,Bharatiya Janata Party,RAVER,1009213,1,,Maharashtra,605452,2014
,,#F05A00,,JADHAV PRATAPRAO GANPATRAO,Shivsena,BULDHANA,978626,1,,Maharashtra,509145,2014
,,#FB7B0D,,DHOTRE SANJAY SHAMRAO,Bharatiya Janata Party,AKOLA,978491,1,,Maharashtra,456472,2014
,,#F05A00,,ADSUL ANANDRAO VITHOBA,Shivsena,AMRAVATI,1004061,1,,Maharashtra,467212,2014
,,#FB7B0D,,RAMDAS CHANDRABHANJI TADAS,Bharatiya Janata Party,WARDHA,1013445,1,,Maharashtra,537518,2014
,,#F05A00,,KRUPAL BALAJI TUMANE,Shivsena,RAMTEK,1050316,1,,Maharashtra,519892,2014
,,#FB7B0D,,GADKARI NITIN JAIRAM,Bharatiya Janata Party,NAGPUR,1085058,1,,Maharashtra,587767,2014
,,#FB7B0D,,NANABHAU FALGUNRAO PATOLE,Bharatiya Janata Party,BHANDARA - GONDIYA,1197196,1,,Maharashtra,606129,2014
,,#FB7B0D,,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,GADCHIROLI-CHIMUR,1027129,1,,Maharashtra,535982,2014
,,#FB7B0D,,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party,CHANDRAPUR,1109743,1,,Maharashtra,508049,2014
,,#F05A00,,GAWALI BHAVANA PUNDLIKRAO,Shivsena,YAVATMAL-WASHIM,1032949,1,,Maharashtra,477905,2014
,,#019733,,RAJEEV SHANKARRAO SATAV,Indian National Congress,HINGOLI,1051164,1,,Maharashtra,467397,2014
,,#019733,,ASHOK SHANKARRAO CHAVAN,Indian National Congress,NANDED,1013350,1,,Maharashtra,493075,2014
,,#F05A00,,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena,PARBHANI,1162233,1,,Maharashtra,578455,2014
,,#FB7B0D,,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,JALNA,1066259,1,,Maharashtra,591428,2014
,,#FB7B0D,,CHAVAN HARISHCHANDRA DEORAM,Bharatiya Janata Party,DINDORI,970182,1,,Maharashtra,542784,2014
,,#F05A00,,GODSE HEMANT TUKARAM,Shivsena,NASHIK,937405,1,,Maharashtra,494735,2014
,,#FB7B0D,,ADV. CHINTAMAN NAVASHA WANGA,Bharatiya Janata Party,PALGHAR,992618,1,,Maharashtra,533201,2014
,,#FB7B0D,,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,BHIWANDI,875605,1,,Maharashtra,411070,2014
,,#F05A00,,DR.SHRIKANT EKNATH SHINDE,Shivsena,KALYAN,824196,1,,Maharashtra,440892,2014
,,#F05A00,,VICHARE RAJAN BABURAO,Shivsena,THANE,1054189,1,,Maharashtra,595364,2014
,,#FB7B0D,,GOPAL CHINAYYA SHETTY,Bharatiya Janata Party,MUMBAI NORTH,946562,1,,Maharashtra,664004,2014
,,#F05A00,,GAJANAN CHANDRAKANT KIRTIKAR,Shivsena,MUMBAI NORTH WEST,895517,1,,Maharashtra,464820,2014
,,#FB7B0D,,KIRIT  SOMAIYA,Bharatiya Janata Party,MUMBAI NORTH EAST,861761,1,,Maharashtra,525285,2014
,,#FB7B0D,,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,Bharatiya Janata Party,MUMBAI NORTH CENTRAL,845292,1,,Maharashtra,478535,2014
,,#F05A00,,RAHUL RAMESH SHEWALE,Shivsena,MUMBAI SOUTH CENTRAL,769060,1,,Maharashtra,381275,2014
,,#F05A00,,ARVIND SAWANT,Shivsena,MUMBAI   SOUTH,780715,1,,Maharashtra,374780,2014
,,#F05A00,,ANANT GEETE,Shivsena,RAIGAD,987766,1,,Maharashtra,396178,2014
,,#F05A00,,APPA ALIAS SHRIRANG CHANDU BARNE,Shivsena,MAVAL,1174335,1,,Maharashtra,512226,2014
,,#FB7B0D,,ANIL SHIROLE,Bharatiya Janata Party,PUNE,993274,1,,Maharashtra,569825,2014
,,#999,,SUPRIYA SULE,Nationalist Congress Party,BARAMATI,1066556,1,,Maharashtra,521562,2014
,,#F05A00,,ADHALRAO SHIVAJI DATTATREY,Shivsena,SHIRUR,1089506,1,,Maharashtra,643415,2014
,,#FB7B0D,,GANDHI DILIPKUMAR MANSUKHLAL,Bharatiya Janata Party,AHMADNAGAR,1062318,1,,Maharashtra,605185,2014
,,#F05A00,,LOKHANDE SADASHIV KISAN,Shivsena,SHIRDI,932645,1,,Maharashtra,532936,2014
,,#FB7B0D,,MUNDE GOPINATHRAO PANDURANG,Bharatiya Janata Party,BEED,1232202,1,,Maharashtra,635995,2014
,,#F05A00,,GAIKWAD RAVINDRA VISHWANATH,Shivsena,OSMANABAD,1118151,1,,Maharashtra,607699,2014
,,#FB7B0D,,DR. SUNIL BALIRAM GAIKWAD,Bharatiya Janata Party,LATUR,1057156,1,,Maharashtra,616509,2014
,,#FB7B0D,,SHARAD BANSODE,Bharatiya Janata Party,SOLAPUR,951201,1,,Maharashtra,517879,2014
,,#999,,MOHITE PATIL VIJAYSINH SHANKARRAO,Nationalist Congress Party,MADHA,1079619,1,,Maharashtra,489989,2014
,,#FB7B0D,,SANJAYKAKA PATIL,Bharatiya Janata Party,SANGLI,1046659,1,,Maharashtra,611563,2014
,,#999,,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,Nationalist Congress Party,SATARA,976681,1,,Maharashtra,522531,2014
,,#F05A00,,VINAYAK BHAURAO RAUT,Shivsena,RATNAGIRI - SINDHUDURG,896256,1,,Maharashtra,493088,2014
,,#999,,DHANANJAY BHIMRAO MAHADIK,Nationalist Congress Party,KOLHAPUR,1260289,1,,Maharashtra,607665,2014
,,#999,,RAJU SHETTY,Swabhimani Paksha,HATKANANGLE,1188871,1,,Maharashtra,640428,2014
,,#019733,,DR. THOKCHOM MEINYA,Indian National Congress,INNER MANIPUR,640871,1,,Manipur,292102,2014
,,#019733,,THANGSO BAITE,Indian National Congress,OUTER MANIPUR,771766,1,,Manipur,296770,2014
,,#019733,,VINCENT H. PALA,Indian National Congress,SHILLONG,619987,1,,Meghalaya,209340,2014
,,#999,,PURNO AGITOK SANGMA,National Peoples Party,TURA,458071,1,,Meghalaya,239301,2014
,,#019733,,C. L. RUALA,Indian National Congress,MIZORAM,433201,1,,Mizoram,210485,2014
,,#999,,NEIPHIU RIO,Naga Peoples Front,NAGALAND,1038910,1,,Nagaland,713372,2014
,,#000000,,PRABHAS KUMAR SINGH,Biju Janata Dal,BARGARH,1123301,1,,Odisha,383230,2014
,,#FB7B0D,,JUAL @ JUEL ORAM,Bharatiya Janata Party,SUNDARGARH,1010711,1,,Odisha,340508,2014
,,#000000,,NAGENDRA KUMAR PRADHAN,Biju Janata Dal,SAMBALPUR,984309,1,,Odisha,358618,2014
,,#000000,,SAKUNTALA LAGURI,Biju Janata Dal,KEONJHAR,1083869,1,,Odisha,434471,2014
,,#000000,,RAMA CHANDRA HANSDAH,Biju Janata Dal,MAYURBHANJ,1053399,1,,Odisha,393779,2014
,,#000000,,RABINDRA KUMAR JENA,Biju Janata Dal,BALASORE,1049450,1,,Odisha,433768,2014
,,#000000,,ARJUN CHARAN SETHI,Biju Janata Dal,BHADRAK,1081339,1,,Odisha,502338,2014
,,#000000,,RITA TARAI,Biju Janata Dal,JAJPUR,980435,1,,Odisha,541349,2014
,,#000000,,TATHAGATA SATPATHY,Biju Janata Dal,DHENKANAL,1042101,1,,Odisha,453277,2014
,,#000000,,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,BOLANGIR,1170405,1,,Odisha,453519,2014
,,#000000,,ARKA KESHARI DEO,Biju Janata Dal,KALAHANDI,1117536,1,,Odisha,370871,2014
,,#000000,,BALABHADRA MAJHI,Biju Janata Dal,NABARANGPUR,1022172,1,,Odisha,373887,2014
,,#000000,,HEMENDRA CHANDRA SINGH,Biju Janata Dal,KANDHAMAL,839415,1,,Odisha,421458,2014
,,#000000,,BHARTRUHARI MAHATAB,Biju Janata Dal,CUTTACK,978604,1,,Odisha,526085,2014
,,#000000,,BAIJAYANT PANDA,Biju Janata Dal,KENDRAPARA,1140999,1,,Odisha,601574,2014
,,#000000,,KULAMANI SAMAL,Biju Janata Dal,JAGATSINGHPUR,1131932,1,,Odisha,624492,2014
,,#000000,,PINAKI MISRA,Biju Janata Dal,PURI,1039389,1,,Odisha,523161,2014
,,#000000,,PRASANNA KUMAR PATASANI,Biju Janata Dal,BHUBANESWAR,891822,1,,Odisha,439252,2014
,,#000000,,LADU KISHORE SWAIN,Biju Janata Dal,ASKA,896281,1,,Odisha,541473,2014
,,#000000,,SIDHANT MOHAPATRA,Biju Janata Dal,BERHAMPUR,905362,1,,Odisha,398107,2014
,,#000000,,JHINA HIKAKA,Biju Janata Dal,KORAPUT,989444,1,,Odisha,395109,2014
,,#FB7B0D,,VINOD KHANNA,Bharatiya Janata Party,GURDASPUR,1042699,1,,Punjab,482255,2014
,,#019733,,CAPTAIN AMARINDER SINGH,Indian National Congress,AMRITSAR,1007196,1,,Punjab,482876,2014
,,#999,,RANJIT SINGH BRAHMPURA,Shiromani Akali Dal,KHADOOR SAHIB,1040518,1,,Punjab,467332,2014
,,#019733,,SANTOKH SINGH CHAUDHARY,Indian National Congress,JALANDHAR,1040762,1,,Punjab,380479,2014
,,#FB7B0D,,VIJAY SAMPLA,Bharatiya Janata Party,HOSHIARPUR,961297,1,,Punjab,346643,2014
,,#999,,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,ANANDPUR SAHIB,1086563,1,,Punjab,347394,2014
,,#019733,,RAVNEET SINGH BITTU,Indian National Congress,LUDHIANA,1100457,1,,Punjab,300459,2014
,,#999,,HARINDER SINGH KHALSA,Aam Aadmi Party,FATEHGARH SAHIB,1030954,1,,Punjab,367293,2014
,,#999,,PROF. SADHU SINGH,Aam Aadmi Party,FARIDKOT,1032107,1,,Punjab,450751,2014
,,#999,,SHER SINGH GHUBAYA,Shiromani Akali Dal,FIROZPUR,1105412,1,,Punjab,487932,2014
,,#999,,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,BATHINDA,1176767,1,,Punjab,514727,2014
,,#999,,BHAGWANT MANN,Aam Aadmi Party,SANGRUR,1099467,1,,Punjab,533237,2014
,,#999,,DR. DHARAM VIRA GANDHI,Aam Aadmi Party,PATIALA,1120933,1,,Punjab,365671,2014
,,#FB7B0D,,NIHALCHAND,Bharatiya Janata Party,GANGANAGAR,1256806,1,,Rajasthan,658130,2014
,,#FB7B0D,,ARJUN RAM MEGHWAL,Bharatiya Janata Party,BIKANER,929751,1,,Rajasthan,584932,2014
,,#FB7B0D,,RAHUL KASWAN,Bharatiya Janata Party,CHURU,1131104,1,,Rajasthan,595756,2014
,,#FB7B0D,,SANTOSH AHLAWAT,Bharatiya Janata Party,JHUNJHUNU,1006465,1,,Rajasthan,488182,2014
,,#FB7B0D,,SUMEDHANAND SARASWATI,Bharatiya Janata Party,SIKAR,1065750,1,,Rajasthan,499428,2014
,,#FB7B0D,,RAJYAVARDHAN SINGH RATHORE,Bharatiya Janata Party,JAIPUR RURAL,1013691,1,,Rajasthan,632930,2014
,,#FB7B0D,,RAMCHARAN BOHARA,Bharatiya Janata Party,JAIPUR,1296806,1,,Rajasthan,863358,2014
,,#FB7B0D,,CHAND NATH,Bharatiya Janata Party,ALWAR,1062305,1,,Rajasthan,642278,2014
,,#FB7B0D,,BAHADUR SINGH,Bharatiya Janata Party,BHARATPUR,962432,1,,Rajasthan,579825,2014
,,#FB7B0D,,MANOJ RAJORIA,Bharatiya Janata Party,KARAULI-DHOLPUR,845941,1,,Rajasthan,402407,2014
,,#FB7B0D,,HARISH CHANDRA MEENA,Bharatiya Janata Party,DAUSA,930492,1,,Rajasthan,315059,2014
,,#FB7B0D,,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,TONK-SAWAI MADHOPUR,1043040,1,,Rajasthan,548179,2014
,,#FB7B0D,,SANWAR LAL JAT,Bharatiya Janata Party,AJMER,1156314,1,,Rajasthan,637874,2014
,,#FB7B0D,,C R CHOUDHARY,Bharatiya Janata Party,NAGAUR,1004019,1,,Rajasthan,414791,2014
,,#FB7B0D,,P P CHOUDHARY,Bharatiya Janata Party,PALI,1095587,1,,Rajasthan,711772,2014
,,#FB7B0D,,GAJENDRASINGH SHEKHAWAT,Bharatiya Janata Party,JODHPUR,1078598,1,,Rajasthan,713515,2014
,,#FB7B0D,,COL. SONA RAM,Bharatiya Janata Party,BARMER,1219119,1,,Rajasthan,488747,2014
,,#FB7B0D,,DEVJI PATEL,Bharatiya Janata Party,JALORE,1087272,1,,Rajasthan,580508,2014
,,#FB7B0D,,ARJUNLAL MEENA,Bharatiya Janata Party,UDAIPUR,1193202,1,,Rajasthan,660373,2014
,,#FB7B0D,,MANSHANKAR NINAMA,Bharatiya Janata Party,BANSWARA,1171188,1,,Rajasthan,577433,2014
,,#FB7B0D,,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,CHITTORGARH,1172629,1,,Rajasthan,703236,2014
,,#FB7B0D,,HARIOM SINGH RATHORE,Bharatiya Janata Party,RAJSAMAND,982119,1,,Rajasthan,644794,2014
,,#FB7B0D,,SUBHASH BAHERIA,Bharatiya Janata Party,BHILWARA,1104090,1,,Rajasthan,630317,2014
,,#FB7B0D,,OM BIRLA,Bharatiya Janata Party,KOTA,1154960,1,,Rajasthan,644822,2014
,,#FB7B0D,,DUSHYANT SINGH,Bharatiya Janata Party,JHALAWAR-BARAN,1146364,1,,Rajasthan,676102,2014
,,#999,,PREM DAS RAI,Sikkim Democratic Front,SIKKIM,308967,1,,Sikkim,163698,2014
,,#9DBC2A,,VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam,THIRUVALLUR,1254440,1,,Tamil Nadu,628499,2014
,,#9DBC2A,,VENKATESH BABU .T.G,All India Anna Dravida Munnetra Kazhagam,CHENNAI NORTH,910114,1,,Tamil Nadu,406704,2014
,,#9DBC2A,,DR. J. JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,CHENNAI SOUTH,1081163,1,,Tamil Nadu,438404,2014
,,#9DBC2A,,S.R. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,CHENNAI CENTRAL,814894,1,,Tamil Nadu,333296,2014
,,#9DBC2A,,"RAMACHANDRAN, K.N. THIRU",All India Anna Dravida Munnetra Kazhagam,SRIPERUMBUDUR,1286647,1,,Tamil Nadu,545820,2014
,,#9DBC2A,,MARAGATHAM  K,All India Anna Dravida Munnetra Kazhagam,KANCHEEPURAM,1128399,1,,Tamil Nadu,499395,2014
,,#9DBC2A,,"HARI, G.",All India Anna Dravida Munnetra Kazhagam,ARAKKONAM,1089052,1,,Tamil Nadu,493534,2014
,,#9DBC2A,,"SENGUTTUVAN, B.",All India Anna Dravida Munnetra Kazhagam,VELLORE,974770,1,,Tamil Nadu,383719,2014
,,#9DBC2A,,ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam,KRISHNAGIRI,1068391,1,,Tamil Nadu,480491,2014
,,#999,,ANBUMANI RAMADOSS,Pattali Makkal Katchi,DHARMAPURI,1101345,1,,Tamil Nadu,468194,2014
,,#9DBC2A,,VANAROJA R,All India Anna Dravida Munnetra Kazhagam,TIRUVANNAMALAI,1067447,1,,Tamil Nadu,500751,2014
,,#9DBC2A,,V.ELUMALAI,All India Anna Dravida Munnetra Kazhagam,ARANI,1096046,1,,Tamil Nadu,502721,2014
,,#9DBC2A,,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,VILUPPURAM,1067641,1,,Tamil Nadu,482704,2014
,,#9DBC2A,,KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam,KALLAKURICHI,1107241,1,,Tamil Nadu,533383,2014
,,#9DBC2A,,PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam,SALEM,1150296,1,,Tamil Nadu,556546,2014
,,#9DBC2A,,SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam,NAMAKKAL,1058755,1,,Tamil Nadu,563272,2014
,,#9DBC2A,,SELVAKUMARA CHINNAYAN S,All India Anna Dravida Munnetra Kazhagam,ERODE,1008582,1,,Tamil Nadu,466995,2014
,,#9DBC2A,,V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam,TIRUPPUR,1050190,1,,Tamil Nadu,442778,2014
,,#9DBC2A,,"GOPALAKRISHNAN, C.",All India Anna Dravida Munnetra Kazhagam,NILGIRIS,933076,1,,Tamil Nadu,463700,2014
,,#9DBC2A,,"NAGARAJAN, P.",All India Anna Dravida Munnetra Kazhagam,COIMBATORE,1176620,1,,Tamil Nadu,431717,2014
,,#9DBC2A,,MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam,POLLACHI,1012667,1,,Tamil Nadu,417092,2014
,,#9DBC2A,,UDHAYA KUMAR .M,All India Anna Dravida Munnetra Kazhagam,DINDIGUL,1083364,1,,Tamil Nadu,510462,2014
,,#9DBC2A,,"THAMBIDURAI,M.",All India Anna Dravida Munnetra Kazhagam,KARUR,1046534,1,,Tamil Nadu,540722,2014
,,#9DBC2A,,KUMAR.P,All India Anna Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,988250,1,,Tamil Nadu,458478,2014
,,#9DBC2A,,"MARUTHARAJAA, R.P.",All India Anna Dravida Munnetra Kazhagam,PERAMBALUR,1030826,1,,Tamil Nadu,462693,2014
,,#9DBC2A,,ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam,CUDDALORE,984538,1,,Tamil Nadu,481429,2014
,,#9DBC2A,,"CHANDRAKASI, M",All India Anna Dravida Munnetra Kazhagam,CHIDAMBARAM,1088423,1,,Tamil Nadu,429536,2014
