state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
11,000,State - SIKKIM (11),Total,All ages,610577,323070,287507,305986,168021,137965,278114,145422,132692,20327,6610,13717,4580,2123,2457,1570,894,676,0,0,0
11,000,State - SIKKIM (11),Total,0-9,99014,50373,48641,99014,50373,48641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,000,State - SIKKIM (11),Total,10-14,66923,33965,32958,65997,33629,32368,862,305,557,31,15,16,27,11,16,6,5,1,0,0,0
11,000,State - SIKKIM (11),Total,15-19,66937,33998,32939,59826,32439,27387,6960,1513,5447,69,22,47,66,17,49,16,7,9,0,0,0
11,000,State - SIKKIM (11),Total,20-24,67297,35146,32151,39714,25100,14614,27058,9869,17189,167,44,123,270,94,176,88,39,49,0,0,0
11,000,State - SIKKIM (11),Total,25-29,64639,34700,29939,20595,13662,6933,43037,20636,22401,354,111,243,490,215,275,163,76,87,0,0,0
11,000,State - SIKKIM (11),Total,30-34,52225,28562,23663,7703,4952,2751,43169,23041,20128,540,180,360,590,261,329,223,128,95,0,0,0
11,000,State - SIKKIM (11),Total,35-39,43627,23396,20231,3750,2295,1455,38235,20498,17737,849,217,632,580,271,309,213,115,98,0,0,0
11,000,State - SIKKIM (11),Total,40-44,36552,20170,16382,2355,1427,928,32268,18060,14208,1122,277,845,622,296,326,185,110,75,0,0,0
11,000,State - SIKKIM (11),Total,45-49,29462,16114,13348,1570,934,636,25627,14374,11253,1563,432,1131,524,259,265,178,115,63,0,0,0
11,000,State - SIKKIM (11),Total,50-54,24432,13624,10808,1160,702,458,20625,12081,8544,2037,529,1508,435,220,215,175,92,83,0,0,0
11,000,State - SIKKIM (11),Total,55-59,17541,9913,7628,857,497,360,14187,8574,5613,2084,622,1462,308,148,160,105,72,33,0,0,0
11,000,State - SIKKIM (11),Total,60-64,13550,7441,6109,878,494,384,9890,6028,3862,2442,735,1707,252,124,128,88,60,28,0,0,0
11,000,State - SIKKIM (11),Total,65-69,10483,5593,4890,870,514,356,6896,4170,2726,2494,800,1694,175,81,94,48,28,20,0,0,0
11,000,State - SIKKIM (11),Total,70-74,7561,4304,3257,425,260,165,4546,3075,1471,2423,884,1539,126,61,65,41,24,17,0,0,0
11,000,State - SIKKIM (11),Total,75-79,4516,2556,1960,185,104,81,2389,1633,756,1868,775,1093,55,33,22,19,11,8,0,0,0
11,000,State - SIKKIM (11),Total,80+,4642,2578,2064,322,193,129,2008,1391,617,2237,952,1285,53,30,23,22,12,10,0,0,0
11,000,State - SIKKIM (11),Total,Age not stated,1176,637,539,765,446,319,357,174,183,47,15,32,7,2,5,0,0,0,0,0,0
11,000,State - SIKKIM (11),Total,Less than 18,205832,104504,101328,202425,103632,98793,3269,817,2452,70,26,44,54,19,35,14,10,4,0,0,0
11,000,State - SIKKIM (11),Total,Less than 21,246722,125420,121302,234645,122345,112300,11802,2980,8822,122,43,79,124,37,87,29,15,14,0,0,0
11,000,State - SIKKIM (11),Rural,All ages,456999,242797,214202,231048,127477,103571,205212,107243,97969,15836,5586,10250,3698,1756,1942,1205,735,470,0,0,0
11,000,State - SIKKIM (11),Rural,0-9,76540,38875,37665,76540,38875,37665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,000,State - SIKKIM (11),Rural,10-14,52191,26588,25603,51519,26341,25178,621,221,400,23,13,10,22,8,14,6,5,1,0,0,0
11,000,State - SIKKIM (11),Rural,15-19,50759,25943,24816,45013,24686,20327,5628,1226,4402,53,15,38,52,11,41,13,5,8,0,0,0
11,000,State - SIKKIM (11),Rural,20-24,49839,26301,23538,28440,18356,10084,20979,7795,13184,130,38,92,216,77,139,74,35,39,0,0,0
11,000,State - SIKKIM (11),Rural,25-29,46628,25475,21153,14084,9552,4532,31753,15593,16160,262,88,174,400,177,223,129,65,64,0,0,0
11,000,State - SIKKIM (11),Rural,30-34,37412,20788,16624,5286,3455,1831,31115,16873,14242,385,144,241,458,208,250,168,108,60,0,0,0
11,000,State - SIKKIM (11),Rural,35-39,30928,16613,14315,2704,1673,1031,27020,14450,12570,580,172,408,455,221,234,169,97,72,0,0,0
11,000,State - SIKKIM (11),Rural,40-44,26111,14402,11709,1786,1117,669,22888,12722,10166,811,229,582,488,243,245,138,91,47,0,0,0
11,000,State - SIKKIM (11),Rural,45-49,21104,11394,9710,1224,756,468,18193,9987,8206,1138,354,784,417,208,209,132,89,43,0,0,0
11,000,State - SIKKIM (11),Rural,50-54,18081,10021,8060,946,586,360,15123,8734,6389,1528,438,1090,359,192,167,125,71,54,0,0,0
11,000,State - SIKKIM (11),Rural,55-59,13219,7390,5829,700,419,281,10646,6296,4350,1547,503,1044,246,115,131,80,57,23,0,0,0
11,000,State - SIKKIM (11),Rural,60-64,10875,5971,4904,749,426,323,7909,4763,3146,1929,622,1307,220,114,106,68,46,22,0,0,0
11,000,State - SIKKIM (11),Rural,65-69,8532,4584,3948,673,407,266,5661,3392,2269,2015,694,1321,145,67,78,38,24,14,0,0,0
11,000,State - SIKKIM (11),Rural,70-74,6280,3624,2656,348,219,129,3775,2547,1228,2006,780,1226,114,55,59,37,23,14,0,0,0
11,000,State - SIKKIM (11),Rural,75-79,3736,2150,1586,156,91,65,1972,1351,621,1545,670,875,50,29,21,13,9,4,0,0,0
11,000,State - SIKKIM (11),Rural,80+,3777,2147,1630,243,150,93,1627,1147,480,1842,811,1031,50,29,21,15,10,5,0,0,0
11,000,State - SIKKIM (11),Rural,Age not stated,987,531,456,637,368,269,302,146,156,42,15,27,6,2,4,0,0,0,0,0,0
11,000,State - SIKKIM (11),Rural,Less than 18,159114,80958,78156,156479,80304,76175,2528,612,1916,52,19,33,41,13,28,14,10,4,0,0,0
11,000,State - SIKKIM (11),Rural,Less than 21,189965,96833,93132,180313,94372,85941,9437,2391,7046,92,33,59,97,24,73,26,13,13,0,0,0
11,000,State - SIKKIM (11),Urban,All ages,153578,80273,73305,74938,40544,34394,72902,38179,34723,4491,1024,3467,882,367,515,365,159,206,0,0,0
11,000,State - SIKKIM (11),Urban,0-9,22474,11498,10976,22474,11498,10976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,000,State - SIKKIM (11),Urban,10-14,14732,7377,7355,14478,7288,7190,241,84,157,8,2,6,5,3,2,0,0,0,0,0,0
11,000,State - SIKKIM (11),Urban,15-19,16178,8055,8123,14813,7753,7060,1332,287,1045,16,7,9,14,6,8,3,2,1,0,0,0
11,000,State - SIKKIM (11),Urban,20-24,17458,8845,8613,11274,6744,4530,6079,2074,4005,37,6,31,54,17,37,14,4,10,0,0,0
11,000,State - SIKKIM (11),Urban,25-29,18011,9225,8786,6511,4110,2401,11284,5043,6241,92,23,69,90,38,52,34,11,23,0,0,0
11,000,State - SIKKIM (11),Urban,30-34,14813,7774,7039,2417,1497,920,12054,6168,5886,155,36,119,132,53,79,55,20,35,0,0,0
11,000,State - SIKKIM (11),Urban,35-39,12699,6783,5916,1046,622,424,11215,6048,5167,269,45,224,125,50,75,44,18,26,0,0,0
11,000,State - SIKKIM (11),Urban,40-44,10441,5768,4673,569,310,259,9380,5338,4042,311,48,263,134,53,81,47,19,28,0,0,0
11,000,State - SIKKIM (11),Urban,45-49,8358,4720,3638,346,178,168,7434,4387,3047,425,78,347,107,51,56,46,26,20,0,0,0
11,000,State - SIKKIM (11),Urban,50-54,6351,3603,2748,214,116,98,5502,3347,2155,509,91,418,76,28,48,50,21,29,0,0,0
11,000,State - SIKKIM (11),Urban,55-59,4322,2523,1799,157,78,79,3541,2278,1263,537,119,418,62,33,29,25,15,10,0,0,0
11,000,State - SIKKIM (11),Urban,60-64,2675,1470,1205,129,68,61,1981,1265,716,513,113,400,32,10,22,20,14,6,0,0,0
11,000,State - SIKKIM (11),Urban,65-69,1951,1009,942,197,107,90,1235,778,457,479,106,373,30,14,16,10,4,6,0,0,0
11,000,State - SIKKIM (11),Urban,70-74,1281,680,601,77,41,36,771,528,243,417,104,313,12,6,6,4,1,3,0,0,0
11,000,State - SIKKIM (11),Urban,75-79,780,406,374,29,13,16,417,282,135,323,105,218,5,4,1,6,2,4,0,0,0
11,000,State - SIKKIM (11),Urban,80+,865,431,434,79,43,36,381,244,137,395,141,254,3,1,2,7,2,5,0,0,0
11,000,State - SIKKIM (11),Urban,Age not stated,189,106,83,128,78,50,55,28,27,5,0,5,1,0,1,0,0,0,0,0,0
11,000,State - SIKKIM (11),Urban,Less than 18,46718,23546,23172,45946,23328,22618,741,205,536,18,7,11,13,6,7,0,0,0,0,0,0
11,000,State - SIKKIM (11),Urban,Less than 21,56757,28587,28170,54332,27973,26359,2365,589,1776,30,10,20,27,13,14,3,2,1,0,0,0
11,241,District - North  District (01),Total,All ages,43709,24730,18979,22368,12684,9684,19663,11385,8278,1360,489,871,217,119,98,101,53,48,0,0,0
11,241,District - North  District (01),Total,0-9,7237,3660,3577,7237,3660,3577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Total,10-14,4952,2455,2497,4881,2427,2454,64,24,40,1,1,0,3,1,2,3,2,1,0,0,0
11,241,District - North  District (01),Total,15-19,4841,2581,2260,4386,2473,1913,445,106,339,4,0,4,6,2,4,0,0,0,0,0,0
11,241,District - North  District (01),Total,20-24,4983,2918,2065,3016,2091,925,1934,817,1117,11,5,6,14,3,11,8,2,6,0,0,0
11,241,District - North  District (01),Total,25-29,5086,3089,1997,1582,1158,424,3417,1890,1527,40,15,25,36,22,14,11,4,7,0,0,0
11,241,District - North  District (01),Total,30-34,3794,2446,1348,483,334,149,3244,2082,1162,30,15,15,28,13,15,9,2,7,0,0,0
11,241,District - North  District (01),Total,35-39,3257,1964,1293,267,181,86,2872,1732,1140,79,26,53,24,17,7,15,8,7,0,0,0
11,241,District - North  District (01),Total,40-44,2674,1649,1025,159,113,46,2385,1480,905,81,28,53,37,23,14,12,5,7,0,0,0
11,241,District - North  District (01),Total,45-49,1949,1144,805,84,54,30,1709,1021,688,117,43,74,24,14,10,15,12,3,0,0,0
11,241,District - North  District (01),Total,50-54,1565,904,661,57,41,16,1334,802,532,152,48,104,10,6,4,12,7,5,0,0,0
11,241,District - North  District (01),Total,55-59,1056,618,438,47,32,15,839,535,304,155,41,114,11,6,5,4,4,0,0,0,0
11,241,District - North  District (01),Total,60-64,772,407,365,47,29,18,546,313,233,165,56,109,9,4,5,5,5,0,0,0,0
11,241,District - North  District (01),Total,65-69,549,307,242,47,37,10,336,203,133,157,62,95,7,5,2,2,0,2,0,0,0
11,241,District - North  District (01),Total,70-74,388,216,172,20,15,5,218,144,74,145,55,90,3,1,2,2,1,1,0,0,0
11,241,District - North  District (01),Total,75-79,258,145,113,11,10,1,133,90,43,111,44,67,1,1,0,2,0,2,0,0,0
11,241,District - North  District (01),Total,80+,299,200,99,14,10,4,172,139,33,108,49,59,4,1,3,1,1,0,0,0,0
11,241,District - North  District (01),Total,Age not stated,49,27,22,30,19,11,15,7,8,4,1,3,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Total,Less than 18,15073,7604,7469,14853,7539,7314,207,60,147,3,1,2,7,2,5,3,2,1,0,0,0
11,241,District - North  District (01),Total,Less than 21,17980,9208,8772,17187,8999,8188,772,200,572,7,3,4,10,4,6,4,2,2,0,0,0
11,241,District - North  District (01),Rural,All ages,39065,22274,16791,19760,11267,8493,17747,10376,7371,1259,466,793,204,115,89,95,50,45,0,0,0
11,241,District - North  District (01),Rural,0-9,6315,3180,3135,6315,3180,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Rural,10-14,4321,2134,2187,4264,2110,2154,50,20,30,1,1,0,3,1,2,3,2,1,0,0,0
11,241,District - North  District (01),Rural,15-19,4234,2261,1973,3808,2158,1650,416,101,315,4,0,4,6,2,4,0,0,0,0,0,0
11,241,District - North  District (01),Rural,20-24,4521,2676,1845,2745,1920,825,1744,747,997,11,5,6,13,2,11,8,2,6,0,0,0
11,241,District - North  District (01),Rural,25-29,4649,2882,1767,1474,1092,382,3094,1751,1343,36,14,22,35,21,14,10,4,6,0,0,0
11,241,District - North  District (01),Rural,30-34,3437,2251,1186,438,305,133,2938,1918,1020,29,14,15,24,12,12,8,2,6,0,0,0
11,241,District - North  District (01),Rural,35-39,2894,1782,1112,248,171,77,2540,1562,978,68,24,44,23,17,6,15,8,7,0,0,0
11,241,District - North  District (01),Rural,40-44,2400,1489,911,147,104,43,2138,1332,806,71,25,46,33,23,10,11,5,6,0,0,0
11,241,District - North  District (01),Rural,45-49,1756,1029,727,74,48,26,1538,917,621,108,41,67,23,13,10,13,10,3,0,0,0
11,241,District - North  District (01),Rural,50-54,1412,810,602,54,38,16,1201,716,485,136,44,92,10,6,4,11,6,5,0,0,0
11,241,District - North  District (01),Rural,55-59,964,555,409,44,29,15,761,476,285,145,40,105,10,6,4,4,4,0,0,0,0
11,241,District - North  District (01),Rural,60-64,720,381,339,39,26,13,514,292,222,153,54,99,9,4,5,5,5,0,0,0,0
11,241,District - North  District (01),Rural,65-69,510,285,225,41,33,8,308,186,122,152,61,91,7,5,2,2,0,2,0,0,0
11,241,District - North  District (01),Rural,70-74,364,202,162,19,15,4,205,134,71,135,51,84,3,1,2,2,1,1,0,0,0
11,241,District - North  District (01),Rural,75-79,240,136,104,11,10,1,119,81,38,107,44,63,1,1,0,2,0,2,0,0,0
11,241,District - North  District (01),Rural,80+,285,195,90,14,10,4,166,136,30,100,47,53,4,1,3,1,1,0,0,0,0
11,241,District - North  District (01),Rural,Age not stated,43,26,17,25,18,7,15,7,8,3,1,2,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Rural,Less than 18,13141,6602,6539,12945,6542,6403,183,55,128,3,1,2,7,2,5,3,2,1,0,0,0
11,241,District - North  District (01),Rural,Less than 21,15720,8039,7681,14995,7843,7152,705,188,517,7,3,4,9,3,6,4,2,2,0,0,0
11,241,District - North  District (01),Urban,All ages,4644,2456,2188,2608,1417,1191,1916,1009,907,101,23,78,13,4,9,6,3,3,0,0,0
11,241,District - North  District (01),Urban,0-9,922,480,442,922,480,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,10-14,631,321,310,617,317,300,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,15-19,607,320,287,578,315,263,29,5,24,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,20-24,462,242,220,271,171,100,190,70,120,0,0,0,1,1,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,25-29,437,207,230,108,66,42,323,139,184,4,1,3,1,1,0,1,0,1,0,0,0
11,241,District - North  District (01),Urban,30-34,357,195,162,45,29,16,306,164,142,1,1,0,4,1,3,1,0,1,0,0,0
11,241,District - North  District (01),Urban,35-39,363,182,181,19,10,9,332,170,162,11,2,9,1,0,1,0,0,0,0,0,0
11,241,District - North  District (01),Urban,40-44,274,160,114,12,9,3,247,148,99,10,3,7,4,0,4,1,0,1,0,0,0
11,241,District - North  District (01),Urban,45-49,193,115,78,10,6,4,171,104,67,9,2,7,1,1,0,2,2,0,0,0,0
11,241,District - North  District (01),Urban,50-54,153,94,59,3,3,0,133,86,47,16,4,12,0,0,0,1,1,0,0,0,0
11,241,District - North  District (01),Urban,55-59,92,63,29,3,3,0,78,59,19,10,1,9,1,0,1,0,0,0,0,0,0
11,241,District - North  District (01),Urban,60-64,52,26,26,8,3,5,32,21,11,12,2,10,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,65-69,39,22,17,6,4,2,28,17,11,5,1,4,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,70-74,24,14,10,1,0,1,13,10,3,10,4,6,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,75-79,18,9,9,0,0,0,14,9,5,4,0,4,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,80+,14,5,9,0,0,0,6,3,3,8,2,6,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,Age not stated,6,1,5,5,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,Less than 18,1932,1002,930,1908,997,911,24,5,19,0,0,0,0,0,0,0,0,0,0,0,0
11,241,District - North  District (01),Urban,Less than 21,2260,1169,1091,2192,1156,1036,67,12,55,0,0,0,1,1,0,0,0,0,0,0,0
11,242,District - West District (02),Total,All ages,136435,70238,66197,70851,38320,32531,59286,29433,29853,4936,1832,3104,1047,460,587,315,193,122,0,0,0
11,242,District - West District (02),Total,0-9,24554,12509,12045,24554,12509,12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,242,District - West District (02),Total,10-14,16863,8570,8293,16633,8482,8151,217,83,134,8,2,6,3,1,2,2,2,0,0,0,0
11,242,District - West District (02),Total,15-19,15536,7916,7620,13673,7487,6186,1824,418,1406,18,8,10,16,1,15,5,2,3,0,0,0
11,242,District - West District (02),Total,20-24,14336,7169,7167,7735,4737,2998,6476,2388,4088,35,12,23,65,23,42,25,9,16,0,0,0
11,242,District - West District (02),Total,25-29,12920,6525,6395,3737,2442,1295,8931,3985,4946,91,34,57,123,44,79,38,20,18,0,0,0
11,242,District - West District (02),Total,30-34,10370,5215,5155,1505,933,572,8566,4161,4405,120,36,84,142,61,81,37,24,13,0,0,0
11,242,District - West District (02),Total,35-39,8615,4393,4222,767,445,322,7527,3823,3704,176,58,118,111,48,63,34,19,15,0,0,0
11,242,District - West District (02),Total,40-44,7372,3877,3495,524,310,214,6441,3411,3030,245,77,168,125,50,75,37,29,8,0,0,0
11,242,District - West District (02),Total,45-49,6163,3277,2886,358,215,143,5286,2855,2431,363,129,234,115,49,66,41,29,12,0,0,0
11,242,District - West District (02),Total,50-54,5415,2956,2459,295,173,122,4494,2566,1928,486,142,344,114,60,54,26,15,11,0,0,0
11,242,District - West District (02),Total,55-59,4058,2211,1847,198,111,87,3262,1881,1381,497,168,329,81,36,45,20,15,5,0,0,0
11,242,District - West District (02),Total,60-64,3445,1861,1584,268,134,134,2478,1472,1006,625,213,412,53,29,24,21,13,8,0,0,0
11,242,District - West District (02),Total,65-69,2465,1331,1134,210,113,97,1600,959,641,607,231,376,38,22,16,10,6,4,0,0,0
11,242,District - West District (02),Total,70-74,1899,1089,810,105,60,45,1122,745,377,634,263,371,28,16,12,10,5,5,0,0,0
11,242,District - West District (02),Total,75-79,1080,611,469,39,23,16,547,361,186,471,214,257,17,10,7,6,3,3,0,0,0
11,242,District - West District (02),Total,80+,1038,574,464,51,34,17,420,287,133,549,241,308,15,10,5,3,2,1,0,0,0
11,242,District - West District (02),Total,Age not stated,306,154,152,199,112,87,95,38,57,11,4,7,1,0,1,0,0,0,0,0,0
11,242,District - West District (02),Total,Less than 18,50829,25888,24941,49957,25657,24300,839,217,622,21,8,13,7,2,5,5,4,1,0,0,0
11,242,District - West District (02),Total,Less than 21,59989,30533,29456,56914,29721,27193,3010,794,2216,27,10,17,29,4,25,9,4,5,0,0,0
11,242,District - West District (02),Rural,All ages,131187,67528,63659,68148,36886,31262,56920,28203,28717,4788,1794,2994,1025,455,570,306,190,116,0,0,0
11,242,District - West District (02),Rural,0-9,23717,12086,11631,23717,12086,11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,242,District - West District (02),Rural,10-14,16305,8299,8006,16082,8214,7868,210,80,130,8,2,6,3,1,2,2,2,0,0,0,0
11,242,District - West District (02),Rural,15-19,14918,7608,7310,13100,7190,5910,1779,407,1372,18,8,10,16,1,15,5,2,3,0,0,0
11,242,District - West District (02),Rural,20-24,13746,6872,6874,7337,4512,2825,6286,2316,3970,34,12,22,64,23,41,25,9,16,0,0,0
11,242,District - West District (02),Rural,25-29,12342,6257,6085,3552,2326,1226,8545,3833,4712,86,34,52,121,44,77,38,20,18,0,0,0
11,242,District - West District (02),Rural,30-34,9916,4982,4934,1429,883,546,8199,3980,4219,117,36,81,137,61,76,34,22,12,0,0,0
11,242,District - West District (02),Rural,35-39,8256,4198,4058,737,424,313,7210,3651,3559,167,57,110,109,47,62,33,19,14,0,0,0
11,242,District - West District (02),Rural,40-44,7050,3710,3340,510,299,211,6144,3256,2888,238,76,162,122,50,72,36,29,7,0,0,0
