constituency,S,District,candidate,party,Alliance,votes
Gummidipoondi,N,Thiruvallur,Vijaya Kumar.K.S,ADMK,ADMK+,0
Ponneri,N,Thiruvallur,Siru Maniyam Bala Raman.B,ADMK,ADMK+,0
Tiruttani,N,Thiruvallur,Narassiman.B.M,ADMK,ADMK+,0
Thiruvallur,N,Thiruvallur,Baskaran.A,ADMK,ADMK+,0
Poonamallee,S,Thiruvallur,Elumalai.T.A,ADMK,ADMK+,0
Avadi,N,Thiruvallur,Pandiya Rajan.M.P.K,ADMK,ADMK+,0
Maduravoyal,N,Thiruvallur,Benjamin.P,ADMK,ADMK+,0
Ambattur,N,Thiruvallur,Alexander.V,ADMK,ADMK+,0
Madavaram,N,Thiruvallur,Dhakshina Moorthy.D,ADMK,ADMK+,0
Thiruvottiyur,N,Thiruvallur,Bal Raj.P,ADMK,ADMK+,0
Dr. Radhakrishnan Nagar,N,Chennai,Jaya Lalitha.J,ADMK,ADMK+,0
Perambur,N,Chennai,Vetri Vel.P,ADMK,ADMK+,0
Kolathur,N,Chennai,Prabhakar.J.C.T,ADMK,ADMK+,0
Villivakkam,N,Chennai,Thadi.M.Rasu,ADMK,ADMK+,0
Thiru-Vi-Ka-Nagar,S,Chennai,Neela Gandan.V,ADMK,ADMK+,0
Egmore,S,Chennai,Parithi Ilam Vazhuthi,ADMK,ADMK+,0
Royapuram,N,Chennai,Jaya Kumar.D,ADMK,ADMK+,0
Harbour,N,Chennai,Seenivasan.K.S,ADMK,ADMK+,0
Chepauk,N,Chennai,Noorjagan.A,ADMK,ADMK+,0
Thousand Lights,N,Chennai,Valar Mathi.B,ADMK,ADMK+,0
Anna Nagar,N,Chennai,Gokula Indhra.S,ADMK,ADMK+,0
Virugampakkam,N,Chennai,Virugai V.N.Ravi,ADMK,ADMK+,0
T-Nagar,N,Chennai,Ponnaiyan.C,ADMK,ADMK+,0
Saidapet,N,Chennai,Sathya Narayanan,ADMK,ADMK+,0
Mylapore,N,Chennai,Nataraj.R,ADMK,ADMK+,0
Velachery,N,Chennai,Neelangarai M.C.Munu Swamy,ADMK,ADMK+,0
Shozhinganallur,N,Kancheepuram,Leo N.Sundaram,ADMK,ADMK+,0
Alandur,N,Kancheepuram,Pandrutty S.Ramachandran,ADMK,ADMK+,0
Sriperumbudur,S,Kancheepuram,Palani.K,ADMK,ADMK+,0
Pallavaram,N,Kancheepuram,Saraswathi.C.R,ADMK,ADMK+,0
Tambaram,N,Kancheepuram,Chitla Pakkam S.Rajendran,ADMK,ADMK+,0
Chengalpattu,N,Kancheepuram,Kamala Kannan.R,ADMK,ADMK+,0
Thiruporur,N,Kancheepuram,Kothanda Pani.M,ADMK,ADMK+,0
Cheyyur,S,Kancheepuram,Munu Swamy.A,ADMK,ADMK+,0
Maduranthakam,S,Kancheepuram,Tamil Arasan.C.K,RPI,ADMK+,0
Uthiramerur,N,Kancheepuram,Ganeshan,ADMK,ADMK+,0
Kancheepuram,N,Kancheepuram,Maithili Thirunavukkarasu,ADMK,ADMK+,0
Arakkonam,S,Vellore,Ravi,ADMK,ADMK+,0
Sholingur,N,Vellore,Parthiban.N.G,ADMK,ADMK+,0
Katpadi,N,Vellore,Appu.S.R.K,ADMK,ADMK+,0
Ranipet,N,Vellore,Sumai Thanghi S. Elumalai,ADMK,ADMK+,0
Arcot,N,Vellore,Ram Das.K.V,ADMK,ADMK+,0
Vellore,N,Vellore,Haroon Rasheeth,MJK,ADMK+,0
Anaicut,N,Vellore,Kalai Arasu.M,ADMK,ADMK+,0
Kilvaithinankuppam,S,Vellore,Loga Nathan.G,ADMK,ADMK+,0
Gudiyattam,S,Vellore,Jeyanthi Padmanabhan.C,ADMK,ADMK+,0
Vaniyambadi,N,Vellore,Dr. Nilofer Kabeel,ADMK,ADMK+,0
Ambur,N,Vellore,Bala Subramani.R,ADMK,ADMK+,0
Jolarpet,N,Vellore,Veera Mani.K.C,ADMK,ADMK+,0
Tiruppattur,N,Vellore,Kumar.T.T,ADMK,ADMK+,0
Uthangarai,S,Krishnagiri,Mano Ranjitham Nagaraj,ADMK,ADMK+,0
Bargur,N,Krishnagiri,Rajendran.Vee.C,ADMK,ADMK+,0
Krishnagiri,N,Krishnagiri,Govindharaj.V,ADMK,ADMK+,0
Veppanahalli,N,Krishnagiri,Hem Nath,ADMK,ADMK+,0
Hosur,N,Krishnagiri,Bala Krishna Reddy.P,ADMK,ADMK+,0
Thalli,N,Krishnagiri,Nagesh.C,ADMK,ADMK+,0
Palacodu,N,Dharmapuri,Anbalagan.K.P,ADMK,ADMK+,0
Pennagaram,N,Dharmapuri,Munu Swamy.K.P,ADMK,ADMK+,0
Dharmapuri,N,Dharmapuri,Elangovan.P.T,ADMK,ADMK+,0
Pappireddippatti,N,Dharmapuri,Palaniappan,ADMK,ADMK+,0
Harur,S,Dharmapuri,Murugan.R.R,ADMK,ADMK+,0
Chengam,S,Tiruvannamalai,Dhinagaran.M,ADMK,ADMK+,0
Tiruvannamalai,N,Tiruvannamalai,Perumal Nagar K.Rajan,ADMK,ADMK+,0
Kilpennathur,N,Tiruvannamalai,Selva Mani.K,ADMK,ADMK+,0
Kalasapakkam,N,Tiruvannamalai,Paneer Selvam,ADMK,ADMK+,0
Polur,N,Tiruvannamalai,Murugan.C.M,ADMK,ADMK+,0
Arani,N,Tiruvannamalai,Chevur S.Ramachandran,ADMK,ADMK+,0
Cheyyar,N,Tiruvannamalai,Thulasi K.Mohan,ADMK,ADMK+,0
Vandavasi,S,Tiruvannamalai,Mega Nathan.V,ADMK,ADMK+,0
Gingee,N,Villupuram,Govindha Swamy.A,ADMK,ADMK+,0
Mailam,N,Villupuram,Anna Durai.K,ADMK,ADMK+,0
Tindivanam,S,Villupuram,Rajendran.S.P,ADMK,ADMK+,0
Vanur,S,Villupuram,Chakkara Bhani.M,ADMK,ADMK+,0
Villupuram,N,Villupuram,Shanmugam.C.V,ADMK,ADMK+,0
Vikravandi,N,Villupuram,Cheval R.Velu,ADMK,ADMK+,0
Tirukkoyilur,N,Villupuram,Cheval G.Kothanda Raman,ADMK,ADMK+,0
Ulundurpet,N,Villupuram,Kumara Guru.R,ADMK,ADMK+,0
Rishivandiyam,N,Villupuram,Kathir Thandabhani,ADMK,ADMK+,0
Sankarapuram,N,Villupuram,Mohan.P,ADMK,ADMK+,0
Kallakurichi,S,Villupuram,Prabhu.A,ADMK,ADMK+,0
Gangavalli,S,Villupuram,Marutha Muthu.A,ADMK,ADMK+,0
Attur,S,Salem,Chinna Thambi.R.M,ADMK,ADMK+,0
Yercaud,S,Salem,Chitra.K,ADMK,ADMK+,0
Omalur,N,Salem,Vetri Vel.S,ADMK,ADMK+,0
Mettur,N,Salem,Chandra Sekaran,ADMK,ADMK+,0
Edappadi,N,Salem,Edapadi K.Palani Swamy,ADMK,ADMK+,0
Sankari,N,Salem,Raja.S,ADMK,ADMK+,0
Salem (West),N,Salem,Venkatachalam.G,ADMK,ADMK+,0
Salem (North),N,Salem,Saravanan.K.R.S,ADMK,ADMK+,0
Salem (South),N,Salem,Sakthi Vel.A.B,ADMK,ADMK+,0
Veerapandi,N,Salem,Manon Mani.S,ADMK,ADMK+,0
Rasipuram,S,Namakkal,Dr.Saroja.V,ADMK,ADMK+,0
Senthamangalam,S,Namakkal,Chandra Sekaran.C,ADMK,ADMK+,0
Namakkal,N,Namakkal,Baskar.K.P.P,ADMK,ADMK+,0
Paramathi-Velur,N,Namakkal,Rajendran,ADMK,ADMK+,0
Tiruchengodu,N,Namakkal,Ponn Saraswathi,ADMK,ADMK+,0
Kumarapalayam,N,Erode,Thanga Mani.P,ADMK,ADMK+,0
Erode (East),N,Erode,Thennarasu,ADMK,ADMK+,0
Erode (West),N,Erode,Rama Lingam.K.V,ADMK,ADMK+,0
Modakkurichi,N,Erode,Siva Subramanian.V.P,ADMK,ADMK+,0
Dharapuram,S,Tiruppur,Ponnu Swamy.K,ADMK,ADMK+,0
Kangayam,N,Tiruppur,Thani Arasu.U,KIP,ADMK+,0
Perundurai,N,Erode,Thoppu N.T.Venkatachalam,ADMK,ADMK+,0
Bhavani,N,Erode,Karuppanan.K.C,ADMK,ADMK+,0
Andhiyur,N,Tiruppur,Raja @ Raja Krishnan.E.M.R,ADMK,ADMK+,0
Gobichettipalayam,N,Tiruppur,Chenkottayan.K.A,ADMK,ADMK+,0
Bhavanisagar,S,Erode,Easwaran.S,ADMK,ADMK+,0
Udhagamandalam,N,Nilgiris,Kapachi D.Vinod,ADMK,ADMK+,0
Gudalur,S,Nilgiris,Kalai Selvan.S,ADMK,ADMK+,0
Coonoor,N,Nilgiris,Ramu.A Shanthi,ADMK,ADMK+,0
Mettuppalayam,N,Coimbatore,Chinna Raju.O.K,ADMK,ADMK+,0
Avanashi,S,Tiruppur,Dhanabal.P,ADMK,ADMK+,0
Tiruppur (North),N,Tiruppur,Vijaya Kumar.K.N,ADMK,ADMK+,0
Tiruppur (South),N,Tiruppur,Guna Sekaran.S,ADMK,ADMK+,0
Palladam,N,Tiruppur,Karai Puthur A.Natarajan,ADMK,ADMK+,0
Sulur,N,Coimbatore,Kanaga Raj.R,ADMK,ADMK+,0
Kavundampalayam,N,Coimbatore,Aarukkutti.V.C,ADMK,ADMK+,0
Coimbatore North,N,Coimbatore,Arun Kumar.P.R.G,ADMK,ADMK+,0
Thondamuthur,N,Coimbatore,Velu Mani.S.P,ADMK,ADMK+,0
Singanallur,N,Coimbatore,Amman K.Archunan,ADMK,ADMK+,0
Coimbatore South,N,Coimbatore,Singai N.Muthu,ADMK,ADMK+,0
Kinathukkadavu,N,Coimbatore,Shanmugam.A,ADMK,ADMK+,0
Pollachi,N,Coimbatore,Jaya Raman Pollachi.V,ADMK,ADMK+,0
Valparai,S,Coimbatore,Kasthuri Vasu,ADMK,ADMK+,0
Udumalpet,N,Tiruppur,Udumal Pet K.Radha Krishnan,ADMK,ADMK+,0
Madathukulam,N,Tiruppur,Manoharan.K,ADMK,ADMK+,0
Palani,N,Dindigul,Kumara Swamy.P,ADMK,ADMK+,0
Oddamchatram,N,Dindigul,Kitu Swamy,ADMK,ADMK+,0
Athoor,N,Dindigul,Natham R.Vishwanathan,ADMK,ADMK+,0
Nilakkottai,S,Dindigul,Thanga Durai.R,ADMK,ADMK+,0
Natham,N,Dindigul,Shajahan.S,ADMK,ADMK+,0
Dindigul,N,Dindigul,Dindigul C.Seenivasan,ADMK,ADMK+,0
Vedasandur,N,Dindigul,Dr.Paramashivam.V.P.B,ADMK,ADMK+,0
Aravakurichi,N,Karur,Senthil Balaji.V,ADMK,ADMK+,0
Karur,N,Karur,Vijaya Baskar.M.R,ADMK,ADMK+,0
Krishnarajapuram,S,Karur,Geetha.M,ADMK,ADMK+,0
Kulithalai,N,Karur,Chandra Sekaran.R,ADMK,ADMK+,0
Manapparai,N,Tiruchirappalli,Chandra Sekar.R,ADMK,ADMK+,0
Srirangam,N,Tiruchirappalli,Valar Mathi.S,ADMK,ADMK+,0
Tiruchirappalli (West),N,Tiruchirappalli,Manoharan.R,ADMK,ADMK+,0
Tiruchirappalli (East),N,Tiruchirappalli,Vellamandi Natarajan,ADMK,ADMK+,0
Thiruverumbur,N,Tiruchirappalli,Kalai Selvan.D,ADMK,ADMK+,0
Lalgudi,N,Tiruchirappalli,Vijaya Moorthy.M,ADMK,ADMK+,0
Manachanallur,N,Tiruchirappalli,Parameshwari Murugan,ADMK,ADMK+,0
Musiri,N,Tiruchirappalli,Selva Rasu.M,ADMK,ADMK+,0
Thuraiyur,S,Tiruchirappalli,Mai Vizhi.A,ADMK,ADMK+,0
Perambalur,S,Perambalur,Ilambai.R.Tamil Selvan,ADMK,ADMK+,0
Kunnam,N,Perambalur,Rama Chandran.R.T,ADMK,ADMK+,0
Ariyalur,N,Ariyalur,Thamarai S.Rajendran,ADMK,ADMK+,0
Jayankondam,N,Ariyalur,Rama Jaya Lingam.J.K.N,ADMK,ADMK+,0
Tittakudi,S,Cuddalore,Ayya Swamy Ganeshan.P,ADMK,ADMK+,0
Vridhachalam,N,Cuddalore,Kali Selvan.V.T,ADMK,ADMK+,0
Neyveli,N,Cuddalore,Raja Sekar.R,ADMK,ADMK+,0
Panruti,N,Cuddalore,Sathya Paneer Selvam,ADMK,ADMK+,0
Cuddalore,N,Cuddalore,Sambath.M.C,ADMK,ADMK+,0
Kurinjipadi,N,Cuddalore,Chorathur R.Rajendran,ADMK,ADMK+,0
Bhuvanagiri,N,Cuddalore,Selvi Rama Jayam,ADMK,ADMK+,0
Chidambaram,N,Cuddalore,Pandiyan.K.A,ADMK,ADMK+,0
Kattumannarkoil,S,Cuddalore,Mani Gandan.M.K,ADMK,ADMK+,0
Sirkazhi,S,Nagapattinam,Bharathi.P.V,ADMK,ADMK+,0
Mayuram,N,Nagapattinam,Radha Krishnan.V,ADMK,ADMK+,0
Poompuhar,N,Nagapattinam,Pawn Raj,ADMK,ADMK+,0
Nagapattinam,N,Nagapattinam,Thamimun Ansari,MJK,ADMK+,0
Kilvelur,S,Nagapattinam,Meena.N,ADMK,ADMK+,0
Vedaranyam,N,Nagapattinam,Gridharan,ADMK,ADMK+,0
Thiruthuraipoondi,S,Thiruvarur,Uma Maheshwari.K,ADMK,ADMK+,0
Mannargudi,N,Thiruvarur,Sudha.T,ADMK,ADMK+,0
Thiruvarur,N,Thiruvarur,Paneer Selvam.A.N.R,ADMK,ADMK+,0
Nannilam,N,Thiruvarur,Kamaraj.R,ADMK,ADMK+,0
Thiruvidaimarudur,S,Thanjavur,Shettu.U,ADMK,ADMK+,0
Kumbakonam,N,Thanjavur,Rathna,ADMK,ADMK+,0
Papanasam,N,Thanjavur,Durai Kannu.R,ADMK,ADMK+,0
Thiruvaiyaru,N,Thanjavur,Subramanaian.M.G.M,ADMK,ADMK+,0
Thanjavur,N,Thanjavur,Renga Swamy.M.m,ADMK,ADMK+,0
Orathanadu,N,Thanjavur,Vaithiya Lingam.R,ADMK,ADMK+,0
Pattukkottai,N,Thanjavur,Sekar.C.V,ADMK,ADMK+,0
Peravurani,N,Thanjavur,Govindha Rajan.M,ADMK,ADMK+,0
Gandharvakottai,S,Pudukkottai,Narthan Malai.P.Aarumugam,ADMK,ADMK+,0
Viralimalai,N,Pudukkottai,Dr.Vijaya Baskar.C,ADMK,ADMK+,0
Pudukkottai,N,Pudukkottai,Karthik Thondaiman.V.R,ADMK,ADMK+,0
Thirumaiyam,N,Pudukkottai,Vaira Muthu.P.K,ADMK,ADMK+,0
Alangudi,N,Pudukkottai,Gnana Kalai Selvan,ADMK,ADMK+,0
Aranthangi,N,Pudukkottai,Rathna Sabapathi.E.A,ADMK,ADMK+,0
Karaikudi,N,Sivaganga,Prof.Karpagam Elango,ADMK,ADMK+,0
Tirupathur,N,Sivaganga,Ashokan.K.R,ADMK,ADMK+,0
Sivaganga,N,Sivaganga,Baskaran.S,ADMK,ADMK+,0
Manamadurai,S,Sivaganga,Mariappan Kennedy.S,ADMK,ADMK+,0
Melur,N,Madurai,Periya Pullan Alias Selvam.P,ADMK,ADMK+,0
Madurai East,N,Madurai,Thakkar P.Pandi,ADMK,ADMK+,0
Sholavandan,S,Madurai,Manikkam.K,ADMK,ADMK+,0
Madurai North,N,Madurai,Rajan Chellappa,ADMK,ADMK+,0
Madurai South,N,Madurai,Saravanan.S.S,ADMK,ADMK+,0
Madurai Central,N,Madurai,Jaya Paul.M,ADMK,ADMK+,0
Madurai West,N,Madurai,Sellur K.Raju,ADMK,ADMK+,0
Thirupparankundram,N,Madurai,Seeni Velu.S.M,ADMK,ADMK+,0
Thirumangalam,N,Madurai,Udhaya Kumar.R.B,ADMK,ADMK+,0
Usilampatti,N,Madurai,Neethi Pathi.P,ADMK,ADMK+,0
Andipatti,N,Theni,Thanga Tamil Selvan,ADMK,ADMK+,0
Periyakulam,S,Theni,Prof Kathir Kamu,ADMK,ADMK+,0
Bodinayakkanur,N,Theni,Paneer Selvam.O.S,ADMK,ADMK+,0
Cumbum,N,Theni,Jakkaiyan.S.T.K,ADMK,ADMK+,0
Rajapalayam,N,Virudhunagar,Shyam.A.S.S,ADMK,ADMK+,0
Srivilliputhur,S,Virudhunagar,Chandra Prabha.M,ADMK,ADMK+,0
Sattur,N,Virudhunagar,Ethir Kottai S.Subramanian,ADMK,ADMK+,0
Sivakasi,N,Virudhunagar,Rajendra Balaji.K.T,ADMK,ADMK+,0
Virudhunagar,N,Virudhunagar,Kala Nidhi.K,ADMK,ADMK+,0
Aruppukkottai,N,Virudhunagar,Vaigai Selvan,ADMK,ADMK+,0
Tiruchuli,N,Virudhunagar,Dinesh Babu.K,ADMK,ADMK+,0
Paramakudi,S,Ramanathapuram,Dr. Muthaiah.S,ADMK,ADMK+,0
Tiruvadanai,N,Ramanathapuram,Karunas.S,MPP,ADMK+,0
Ramanathapuram,N,Ramanathapuram,Dr.Mani Gandan.M,ADMK,ADMK+,0
Mudhukulathur,N,Ramanathapuram,Keerthika Muniya Swamy,ADMK,ADMK+,0
Vilathikulam,N,Thoothukkudi,Uma Maheshwari.K,ADMK,ADMK+,0
Thoothukkudi,N,Thoothukkudi,Chella Pandiyan.C.T,ADMK,ADMK+,0
Tiruchendur,N,Thoothukkudi,Sarath Kumar.R,SMK,ADMK+,0
Srivaikuntam,N,Thoothukkudi,Shanmuganathan.S.P,ADMK,ADMK+,0
Ottapidaram,S,Thoothukkudi,Sundara Raj.R,ADMK,ADMK+,0
Kovilpatti,N,Thoothukkudi,Kadambur Raju,ADMK,ADMK+,0
Sankarankovil,S,Tirunelveli,Raja Lakshmi.V.M,ADMK,ADMK+,0
Vasudevanallur,S,Tirunelveli,Manoharan.A,ADMK,ADMK+,0
Kadayanallur,N,Tirunelveli,Shek Dawood,TMML,ADMK+,0
Tenkasi,N,Tirunelveli,Selva Mohan Das Pandiyan.C,ADMK,ADMK+,0
Alangulam,N,Tirunelveli,Karthikeyan F.C,ADMK,ADMK+,0
Tirunelveli,N,Tirunelveli,Nayinar Nagendran,ADMK,ADMK+,0
Ambasamudram,N,Tirunelveli,Murugayya Pandiyan.R,ADMK,ADMK+,0
Palayamkottai,N,Tirunelveli,Hyder Ali,ADMK,ADMK+,0
Nanguneri,N,Tirunelveli,Vijaya Kumar.M,ADMK,ADMK+,0
Radhapuram,N,Tirunelveli,Lawrance.G.T,ADMK,ADMK+,0
Kanniyakumari,N,Kanniyakumari,Thalavai Sundaram.N,ADMK,ADMK+,0
Nagercoil,N,Kanniyakumari,Nanjil Murugeshan,ADMK,ADMK+,0
Kollachal,N,Kanniyakumari,Patchai Ammal.K.T,ADMK,ADMK+,0
Padmanabhapuram,N,Kanniyakumari,Rajendra Prasath.K.P,ADMK,ADMK+,0
Vilavancode,N,Kanniyakumari,G Nanjil Dominic ,ADMK,ADMK+,0
Killiyoor,N,Kanniyakumari,Merry Kamal Bhai.A,ADMK,ADMK+,0
Gummidipoondi,N,Thiruvallur,Sekar,MDMDK,DMK+,0
Ponneri,N,Thiruvallur,Parimalam,DMK,DMK+,0
Tiruttani,N,Thiruvallur,Chidambaram,INC,DMK+,0
Thiruvallur,N,Thiruvallur,Rajendran,DMK,DMK+,0
Poonamallee,S,Thiruvallur,Paranthaman,DMK,DMK+,0
Avadi,N,Thiruvallur,Nazar,DMK,DMK+,0
Maduravoyal,N,Thiruvallur,Rajesh,INC,DMK+,0
Ambattur,N,Thiruvallur,Hasan Moulana,INC,DMK+,0
Madavaram,N,Thiruvallur,Sudharsanam,DMK,DMK+,0
Thiruvottiyur,N,Thiruvallur,Samy.K.P.P,DMK,DMK+,0
Dr. Radhakrishnan Nagar,N,Chennai,Simla Muthu Cholan,DMK,DMK+,0
Perambur,N,Chennai,Dhanabal,PeMK,DMK+,0
Kolathur,N,Chennai,Stalin.M.K,DMK,DMK+,0
Villivakkam,N,Chennai,Ranganathan,DMK,DMK+,0
Thiru-Vi-Ka-Nagar,S,Chennai,Sivakumar,DMK,DMK+,0
Egmore,S,Chennai,Ravichandran,DMK,DMK+,0
Royapuram,N,Chennai,Manohar,INC,DMK+,0
Harbour,N,Chennai,Sekar Babu,DMK,DMK+,0
Chepauk,N,Chennai,Anbalagan.J,DMK,DMK+,0
Thousand Lights,N,Chennai,Selvam,DMK,DMK+,0
Anna Nagar,N,Chennai,Mohan,DMK,DMK+,0
Virugampakkam,N,Chennai,Dhanasekaran,DMK,DMK+,0
T-Nagar,N,Chennai,Subramanaian.M,DMK,DMK+,0
Saidapet,N,Chennai,Kani Mozhi.S.N,DMK,DMK+,0
Mylapore,N,Chennai,Karathe Thiagarajan,INC,DMK+,0
Velachery,N,Chennai,Vagai Chandrasekar,DMK,DMK+,0
Shozhinganallur,N,Kancheepuram,Aravindha Swamy,DMK,DMK+,0
Alandur,N,Kancheepuram,Dhamo Anbarasan,DMK,DMK+,0
Sriperumbudur,S,Kancheepuram,Selva Perunthagai,INC,DMK+,0
Pallavaram,N,Kancheepuram,Karunanithi.E,DMK,DMK+,0
Tambaram,N,Kancheepuram,Raja.S.R,DMK,DMK+,0
Chengalpattu,N,Kancheepuram,Vara Lakshmi Mathu Suthanan,DMK,DMK+,0
Thiruporur,N,Kancheepuram,Viswanathan,DMK,DMK+,0
Cheyyur,S,Kancheepuram,Arasu,DMK,DMK+,0
Maduranthakam,S,Kancheepuram,Puhalendhi,DMK,DMK+,0
Uthiramerur,N,Kancheepuram,Sundar,DMK,DMK+,0
Kancheepuram,N,Kancheepuram,Ezhilarasan,DMK,DMK+,0
Arakkonam,S,Vellore,Raj Kumar.N,DMK,DMK+,0
Sholingur,N,Vellore,Muni Rathnam,INC,DMK+,0
Katpadi,N,Vellore,Durai Murugan,DMK,DMK+,0
Ranipet,N,Vellore,Gandhi,DMK,DMK+,0
Arcot,N,Vellore,Easwarappan,DMK,DMK+,0
Vellore,N,Vellore,Karthikeyan,DMK,DMK+,0
Anaicut,N,Vellore,Nantha Kumar,DMK,DMK+,0
Kilvaithinankuppam,S,Vellore,Amalu,DMK,DMK+,0
Gudiyattam,S,Vellore,Raja Marthandan,DMK,DMK+,0
Vaniyambadi,N,Vellore,Syed Farook,IUML,DMK+,0
Ambur,N,Vellore,Nazeer Ahmed,MMK,DMK+,0
Jolarpet,N,Vellore,Kavitha Dhandapani,DMK,DMK+,0
Tiruppattur,N,Vellore,Nalla Thambi,DMK,DMK+,0
Uthangarai,S,Krishnagiri,Malathy Narayanan Swamy,DMK,DMK+,0
Bargur,N,Krishnagiri,Govindharajan,DMK,DMK+,0
Krishnagiri,N,Krishnagiri,Chenkuttuvan,DMK,DMK+,0
Veppanahalli,N,Krishnagiri,Murugan,DMK,DMK+,0
Hosur,N,Krishnagiri,Gopi Nath,INC,DMK+,0
Thalli,N,Krishnagiri,Prakash,DMK,DMK+,0
Palacodu,N,Dharmapuri,Murugan,DMK,DMK+,0
Pennagaram,N,Dharmapuri,Innbarasan,DMK,DMK+,0
Dharmapuri,N,Dharmapuri,Subramanian,DMK,DMK+,0
Pappireddippatti,N,Dharmapuri,Prabhu Rajasekar,DMK,DMK+,0
Harur,S,Dharmapuri,Rajendran,DMK,DMK+,0
Chengam,S,Tiruvannamalai,Giri,DMK,DMK+,0
Tiruvannamalai,N,Tiruvannamalai,Velu.A.Va,DMK,DMK+,0
Kilpennathur,N,Tiruvannamalai,Pitchandi,DMK,DMK+,0
Kalasapakkam,N,Tiruvannamalai,Sengam.G.Kumar,INC,DMK+,0
Polur,N,Tiruvannamalai,Sekaran,DMK,DMK+,0
Arani,N,Tiruvannamalai,Babu.S,DMK,DMK+,0
Cheyyar,N,Tiruvannamalai,Vishnu Prasath,INC,DMK+,0
Vandavasi,S,Tiruvannamalai,Ambethkumar,DMK,DMK+,0
Gingee,N,Villupuram,Masthan,DMK,DMK+,0
Mailam,N,Villupuram,Masila Mani,DMK,DMK+,0
Tindivanam,S,Villupuram,Sita Pathi Chokalingam,DMK,DMK+,0
Vanur,S,Villupuram,Maithili Rajendran,DMK,DMK+,0
Villupuram,N,Villupuram,Ameer Abbas,IUML,DMK+,0
Vikravandi,N,Villupuram,Radha Mani,DMK,DMK+,0
Tirukkoyilur,N,Villupuram,Pon Mudi,DMK,DMK+,0
Ulundurpet,N,Villupuram,Vasantha Vel.G.R,DMK,DMK+,0
Rishivandiyam,N,Villupuram,Karthikeyan,DMK,DMK+,0
Sankarapuram,N,Villupuram,Uthaya Surian,DMK,DMK+,0
Kallakurichi,S,Villupuram,Kamaraj,DMK,DMK+,0
Gangavalli,S,Villupuram,Rekha Priya Dharshini,DMK,DMK+,0
Attur,S,Salem,Artha Nari,INC,DMK+,0
Yercaud,S,Salem,Tamil Selvan,DMK,DMK+,0
Omalur,N,Salem,Ammashi,DMK,DMK+,0
Mettur,N,Salem,Parthibhan,MDMDK,DMK+,0
Edappadi,N,Salem,Murugeshan,DMK,DMK+,0
Sankari,N,Salem,Rajeshwaran,INC,DMK+,0
Salem (West),N,Salem,Paneer Selvam,DMK,DMK+,0
Salem (North),N,Salem,Rajendran,DMK,DMK+,0
Salem (South),N,Salem,Gunasekaran,DMK,DMK+,0
Veerapandi,N,Salem,Rajendran,DMK,DMK+,0
Rasipuram,S,Namakkal,Durai Swamy.V.P,DMK,DMK+,0
Senthamangalam,S,Namakkal,Ponnu Swamy,DMK,DMK+,0
Namakkal,N,Namakkal,Chezhiyan,INC,DMK+,0
Paramathi-Velur,N,Namakkal,Moorthy,DMK,DMK+,0
Tiruchengodu,N,Namakkal,Elangovan,DMK,DMK+,0
Kumarapalayam,N,Erode,Yuvaraj,DMK,DMK+,0
Erode (East),N,Erode,Chandra Kumar,MDMDK,DMK+,0
Erode (West),N,Erode,Muthu Swamy,DMK,DMK+,0
Modakkurichi,N,Erode,Sachithanantham,DMK,DMK+,0
Dharapuram,S,Tiruppur,Kali Muthu,INC,DMK+,0
Kangayam,N,Tiruppur,Gopi ,DMK,DMK+,0
Perundurai,N,Erode,Mohana Sundaram,DMK,DMK+,0
Bhavani,N,Erode,Sivakumar,DMK,DMK+,0
