constituency,S,District,candidate,party,Alliance,votes
Tiruppur (North),N,Tiruppur,Chinna Swamy,BJP,BJP+,0
Tiruppur (South),N,Tiruppur,Point Mani,BJP,BJP+,0
Palladam,N,Tiruppur,Thangaraj,BJP,BJP+,0
Sulur,N,Coimbatore,Mohan Manthra Chalam,BJP,BJP+,0
Kavundampalayam,N,Coimbatore,Nandha Kumar.R,BJP,BJP+,0
Coimbatore North,N,Coimbatore,Kannan @ Devaraj.S,BJP,BJP+,0
Thondamuthur,N,Coimbatore,Karu Muthu Thiagarajan,BJP,BJP+,0
Singanallur,N,Coimbatore,Vanitha Seenivasan,BJP,BJP+,0
Coimbatore South,N,Coimbatore,Nandha Kumar.C.R,BJP,BJP+,0
Kinathukkadavu,N,Coimbatore,Muthu Rama Lingam,BJP,BJP+,0
Pollachi,N,Coimbatore,Sivakumar,BJP,BJP+,0
Valparai,S,Coimbatore,Murugeshan.P,BJP,BJP+,0
Udumalpet,N,Tiruppur,Kantha Swamy.U.K.P.N.,BJP,BJP+,0
Madathukulam,N,Tiruppur,Muthu Kumar,IMKMK,BJP+,0
Palani,N,Dindigul,Kanaga Raj.M.R,BJP,BJP+,0
Oddamchatram,N,Dindigul,Palani Swamy.S.K,BJP,BJP+,0
Athoor,N,Dindigul,Elanchezhian.S.P,BJP,BJP+,0
Nilakkottai,S,Dindigul,Alaghu Mani,BJP,BJP+,0
Natham,N,Dindigul,Shanthana Krishnan,IJK,BJP+,0
Dindigul,N,Dindigul,Thirumalai Balaji,BJP,BJP+,0
Vedasandur,N,Dindigul,Shiva Ranjani,IJK,BJP+,0
Aravakurichi,N,Karur,Prabhu,IJK,BJP+,0
Karur,N,Karur,Siva Swamy.K.,BJP,BJP+,0
Krishnarajapuram,S,Karur,Naveen Kumar.P,BJP,BJP+,0
Kulithalai,N,Karur,Sathakkathulla.N.K.N,AIMMK,BJP+,0
Manapparai,N,Tiruchirappalli,Senthil Deepak,BJP,BJP+,0
Srirangam,N,Tiruchirappalli,Rajesh Kumar.A,BJP,BJP+,0
Tiruchirappalli (West),N,Tiruchirappalli,Satheesh Kumar,IJK,BJP+,0
Tiruchirappalli (East),N,Tiruchirappalli,Rajaiyyan.T.,BJP,BJP+,0
Thiruverumbur,N,Tiruchirappalli,Chitti Babu,BJP,BJP+,0
Lalgudi,N,Tiruchirappalli,Selva Kumar,IJK,BJP+,0
Manachanallur,N,Tiruchirappalli,Sethu Aravind.S,BJP,BJP+,0
Musiri,N,Tiruchirappalli,Raya Durai,IJK,BJP+,0
Thuraiyur,S,Tiruchirappalli,Aananthan,IJK,BJP+,0
Perambalur,S,Perambalur,Kaliya Perumal,BJP,BJP+,0
Kunnam,N,Perambalur,Raghupathi,IJK,BJP+,0
Ariyalur,N,Ariyalur,Baskar,IJK,BJP+,0
Jayankondam,N,Ariyalur,Krishna Moorthy.S,BJP,BJP+,0
Tittakudi,S,Cuddalore,Kalai Arasan,IJK,BJP+,0
Vridhachalam,N,Cuddalore,Chella Durai,IJK,BJP+,0
Neyveli,N,Cuddalore,Chandran,IJK,BJP+,0
Panruti,N,Cuddalore,Saravanan,IMKMK,BJP+,0
Cuddalore,N,Cuddalore,Selvam.P,BJP,BJP+,0
Kurinjipadi,N,Cuddalore,Sakthi Ganapathy,BJP,BJP+,0
Bhuvanagiri,N,Cuddalore,Muthu ,IMKMK,BJP+,0
Chidambaram,N,Cuddalore,Mani Maran.G,BJP,BJP+,0
Kattumannarkoil,S,Cuddalore,Dr.Saravanan.SP.,BJP,BJP+,0
Sirkazhi,S,Nagapattinam,Elavazhagan.M.R.S,BJP,BJP+,0
Mayuram,N,Nagapattinam,Muthu Kumar.C,BJP,BJP+,0
Poompuhar,N,Nagapattinam,Selva Muthu Kumaran,IJK,BJP+,0
Nagapattinam,N,Nagapattinam,Nethaji,BJP,BJP+,0
Kilvelur,S,Nagapattinam,Gunasekaran.,IMKMK,BJP+,0
Vedaranyam,N,Nagapattinam,Vedha Rathnam,BJP,BJP+,0
Thiruthuraipoondi,S,Thiruvarur,Uthaya Kumar,BJP,BJP+,0
Mannargudi,N,Thiruvarur,Siva Kumar @ Pettai Siva,BJP,BJP+,0
Thiruvarur,N,Thiruvarur,Ranga Das.N,BJP,BJP+,0
Nannilam,N,Thiruvarur,Saravanan,IJK,BJP+,0
Thiruvidaimarudur,S,Thanjavur,Vasudhevan.S,BJP,BJP+,0
Kumbakonam,N,Thanjavur,Annamalai.PL.,BJP,BJP+,0
Papanasam,N,Thanjavur,Gunasekaran.T,BJP,BJP+,0
Thiruvaiyaru,N,Thanjavur,Seviyar Raj,IJK,BJP+,0
Thanjavur,N,Thanjavur,Rama Lingam.MS,BJP,BJP+,0
Orathanadu,N,Thanjavur,Kesavan,IMKMK,BJP+,0
Pattukkottai,N,Thanjavur,Karuppu Muruganantham,BJP,BJP+,0
Peravurani,N,Thanjavur,Elango.R,BJP,BJP+,0
Gandharvakottai,S,Pudukkottai,Puratchi Kavi Dhasan,BJP,BJP+,0
Viralimalai,N,Pudukkottai,Muthu Kumar,IJK,BJP+,0
Pudukkottai,N,Pudukkottai,Kumar,IJK,BJP+,0
Thirumaiyam,N,Pudukkottai,Vadamalai.B,BJP,BJP+,0
Alangudi,N,Pudukkottai,Saravanan,IJK,BJP+,0
Aranthangi,N,Pudukkottai,Gemini Ganeshan,IJK,BJP+,0
Karaikudi,N,Sivaganga,Muthu Lakshmi,BJP,BJP+,0
Tirupathur,N,Sivaganga,Antony Lawrance,IJK,BJP+,0
Sivaganga,N,Sivaganga,Kulanthai Swamy,IJK,BJP+,0
Manamadurai,S,Sivaganga,Rajendran.M.,BJP,BJP+,0
Melur,N,Madurai,Boopathi Kakan.P.V,BJP,BJP+,0
Madurai East,N,Madurai,Susheendran.M.,BJP,BJP+,0
Sholavandan,S,Madurai,Palani Vel Swamy.S.,BJP,BJP+,0
Madurai North,N,Madurai,Aananth,IJK,BJP+,0
Madurai South,N,Madurai,Maha Lakshmi.AR,BJP,BJP+,0
Madurai Central,N,Madurai,Karthik Prabhu,BJP,BJP+,0
Madurai West,N,Madurai,Sashi Kumar.A,BJP,BJP+,0
Thirupparankundram,N,Madurai,Aarumugam Pillai,BJP,BJP+,0
Thirumangalam,N,Madurai,Rama Moorthy.VR.,BJP,BJP+,0
Usilampatti,N,Madurai,Sangili.M,BJP,BJP+,0
Andipatti,N,Theni,Sakkaravarthy.S.R,BJP,BJP+,0
Periyakulam,S,Theni,Chellam.K,BJP,BJP+,0
Bodinayakkanur,N,Theni,Venkateshwaran.V.,BJP,BJP+,0
Cumbum,N,Theni,Prabhaharan,BJP,BJP+,0
Rajapalayam,N,Virudhunagar,Rama Chandra Raja,BJP,BJP+,0
Srivilliputhur,S,Virudhunagar,Rama Swamy,BJP,BJP+,0
Sattur,N,Virudhunagar,Gnana Pandithan.P,BJP,BJP+,0
Sivakasi,N,Virudhunagar,Partha Sarathy.G,BJP,BJP+,0
Virudhunagar,N,Virudhunagar,Kamatchi.C,BJP,BJP+,0
Aruppukkottai,N,Virudhunagar,Vetri Vel.R,BJP,BJP+,0
Tiruchuli,N,Virudhunagar,Bala Ravi Rajan,BJP,BJP+,0
Paramakudi,S,Ramanathapuram,Bala Ganapathy.Ponn,BJP,BJP+,0
Tiruvadanai,N,Ramanathapuram,Devanathan,IMKMK,BJP+,0
Ramanathapuram,N,Ramanathapuram,Durai Kannan,BJP,BJP+,0
Mudhukulathur,N,Ramanathapuram,Arasa Kumar.P.T,BJP,BJP+,0
Vilathikulam,N,Thoothukkudi,Rama Moorthy.P,BJP,BJP+,0
Thoothukkudi,N,Thoothukkudi,Kanaga Raj.MR.,BJP,BJP+,0
Tiruchendur,N,Thoothukkudi,Jaya Raman,BJP,BJP+,0
Srivaikuntam,N,Thoothukkudi,Selva Raj,BJP,BJP+,0
Ottapidaram,S,Thoothukkudi,Chandhana Kumar.A,BJP,BJP+,0
Kovilpatti,N,Thoothukkudi,Subhu Raj,IJK,BJP+,0
Sankarankovil,S,Tirunelveli,Gunasekaran,IMKMK,BJP+,0
Vasudevanallur,S,Tirunelveli,Raj Kumar,BJP,BJP+,0
Kadayanallur,N,Tirunelveli,Kathir Vel,BJP,BJP+,0
Tenkasi,N,Tirunelveli,Selvi.B,BJP,BJP+,0
Alangulam,N,Tirunelveli,Anbhu Raj.S.V,BJP,BJP+,0
Tirunelveli,N,Tirunelveli,Maha Rajan.A,BJP,BJP+,0
Ambasamudram,N,Tirunelveli,Sashi Kala Murugeshan,IMKMK,BJP+,0
Palayamkottai,N,Tirunelveli,Nirmal Singh,IMKMK,BJP+,0
Nanguneri,N,Tirunelveli,Mani Gandan,IMKMK,BJP+,0
Radhapuram,N,Tirunelveli,Kani Amutha,BJP,BJP+,0
Kanniyakumari,N,Kanniyakumari,Meena Devi.M.,BJP,BJP+,0
Nagercoil,N,Kanniyakumari,Gandhi.MR.,BJP,BJP+,0
Kollachal,N,Kanniyakumari,Raj Kumar Ramesh,BJP,BJP+,0
Padmanabhapuram,N,Kanniyakumari,Shreeba Prasad.S,BJP,BJP+,0
Vilavancode,N,Kanniyakumari,Dharmaraj.C,BJP,BJP+,0
Killiyoor,N,Kanniyakumari,Vijaya Ragavan.Ponn,BJP,BJP+,0
Gummidipoondi,N,Thiruvallur,Suresh.S,NTK,NTK+,0
Ponneri,N,Thiruvallur,Vinod Babu.S,NTK,NTK+,0
Tiruttani,N,Thiruvallur,Prabhu,NTK,NTK+,0
Thiruvallur,N,Thiruvallur,Senthil Kumar.K,NTK,NTK+,0
Poonamallee,S,Thiruvallur,Ponnarasu.K,NTK,NTK+,0
Avadi,N,Thiruvallur,Nalla Thambi.C,NTK,NTK+,0
Maduravoyal,N,Thiruvallur,Vasu.M,NTK,NTK+,0
Ambattur,N,Thiruvallur,Anbu Thennarasu,NTK,NTK+,0
Madavaram,N,Thiruvallur,Elumalai.R,NTK,NTK+,0
Thiruvottiyur,N,Thiruvallur,Gokula Krishnan.R,NTK,NTK+,0
Dr. Radhakrishnan Nagar,N,Chennai,Devi,NTK,NTK+,0
Perambur,N,Chennai,Vetri Tamilan.C,NTK,NTK+,0
Kolathur,N,Chennai,Seviar Felix,NTK,NTK+,0
Villivakkam,N,Chennai,Vagai Venthan.A,NTK,NTK+,0
Thiru-Vi-Ka-Nagar,S,Chennai,Gowri,NTK,NTK+,0
Egmore,S,Chennai,Jaya Lakshmi,NTK,NTK+,0
Royapuram,N,Chennai,Aanand Raj.P,NTK,NTK+,0
Harbour,N,Chennai,Anwar,NTK,NTK+,0
Chepauk,N,Chennai,Siva Kumar.P,NTK,NTK+,0
Thousand Lights,N,Chennai,Murugeshan,NTK,NTK+,0
Anna Nagar,N,Chennai,Amutha Nambi,NTK,NTK+,0
Virugampakkam,N,Chennai,Rajendran.S,NTK,NTK+,0
T-Nagar,N,Chennai,Manoharan,NTK,NTK+,0
Saidapet,N,Chennai,Padmanabhan.K,NTK,NTK+,0
Mylapore,N,Chennai,Ramji,NTK,NTK+,0
Velachery,N,Chennai,Chandra Sekaran,NTK,NTK+,0
Shozhinganallur,N,Kancheepuram,Rajan.C,NTK,NTK+,0
Alandur,N,Kancheepuram,Dhananjayan.R,NTK,NTK+,0
Sriperumbudur,S,Kancheepuram,Sivaranjani.P,NTK,NTK+,0
Pallavaram,N,Kancheepuram,Seenivasa Kumar,NTK,NTK+,0
Tambaram,N,Kancheepuram,Naganathan.V.P,NTK,NTK+,0
Chengalpattu,N,Kancheepuram,Sanjeevi Nathan,NTK,NTK+,0
Thiruporur,N,Kancheepuram,Ellalan Yusuff,NTK,NTK+,0
Cheyyur,S,Kancheepuram,Dhasarathan.A,NTK,NTK+,0
Maduranthakam,S,Kancheepuram,Vetri Selvam,NTK,NTK+,0
Uthiramerur,N,Kancheepuram,Susai Raj,NTK,NTK+,0
Kancheepuram,N,Kancheepuram,Usha,NTK,NTK+,0
Arakkonam,S,Vellore,Saravanan.M,NTK,NTK+,0
Sholingur,N,Vellore,Senthil Kumar,NTK,NTK+,0
Katpadi,N,Vellore,Puviyarasan.L.,NTK,NTK+,0
Ranipet,N,Vellore,Navash Khan,NTK,NTK+,0
Arcot,N,Vellore,Aarumugam.V,NTK,NTK+,0
Vellore,N,Vellore,Mani Gandan,NTK,NTK+,0
Anaicut,N,Vellore,Sivaraj @ Siva,NTK,NTK+,0
Kilvaithinankuppam,S,Vellore,Archana.Nila,NTK,NTK+,0
Gudiyattam,S,Vellore,Vel @ Raj Kumar,NTK,NTK+,0
Vaniyambadi,N,Vellore,Kalliloor Rahman,NTK,NTK+,0
Ambur,N,Vellore,Kalai Kamaraj,NTK,NTK+,0
Jolarpet,N,Vellore,Then Mozhi,NTK,NTK+,0
Tiruppattur,N,Vellore,Gunasekaran,NTK,NTK+,0
Uthangarai,S,Krishnagiri,Venkateshan,NTK,NTK+,0
Bargur,N,Krishnagiri,Easwaran,NTK,NTK+,0
Krishnagiri,N,Krishnagiri,Parthibhan Ponn,NTK,NTK+,0
Veppanahalli,N,Krishnagiri,Ilan Tamilan,NTK,NTK+,0
Hosur,N,Krishnagiri,Alex Esthar,NTK,NTK+,0
Thalli,N,Krishnagiri,Tamil Selvan,NTK,NTK+,0
Palacodu,N,Dharmapuri,Venkatesan,NTK,NTK+,0
Pennagaram,N,Dharmapuri,Siva Kumar.,NTK,NTK+,0
Dharmapuri,N,Dharmapuri,Rukku Mani Devi.R,NTK,NTK+,0
Pappireddippatti,N,Dharmapuri,Mooventhan,NTK,NTK+,0
Harur,S,Dharmapuri,Ramesh,NTK,NTK+,0
Chengam,S,Tiruvannamalai,Venilla,NTK,NTK+,0
Tiruvannamalai,N,Tiruvannamalai,Kamala Kannan,NTK,NTK+,0
Kilpennathur,N,Tiruvannamalai,Ramesh Babu.R,NTK,NTK+,0
Kalasapakkam,N,Tiruvannamalai,Balaji,NTK,NTK+,0
Polur,N,Tiruvannamalai,Kanthan,NTK,NTK+,0
Arani,N,Tiruvannamalai,Mohan Raj,NTK,NTK+,0
Cheyyar,N,Tiruvannamalai,Rajesh,NTK,NTK+,0
Vandavasi,S,Tiruvannamalai,Neela Gandan,NTK,NTK+,0
Gingee,N,Villupuram,Dhana Sekaran,NTK,NTK+,0
Mailam,N,Villupuram,Vijaya Lakshmi,NTK,NTK+,0
Tindivanam,S,Villupuram,Puvaneshwari.K,NTK,NTK+,0
Vanur,S,Villupuram,Lakshmi,NTK,NTK+,0
Villupuram,N,Villupuram,Subramani,NTK,NTK+,0
Vikravandi,N,Villupuram,Saravana Kumar.S,NTK,NTK+,0
Tirukkoyilur,N,Villupuram,Raja Sekar.T,NTK,NTK+,0
Ulundurpet,N,Villupuram,Thesinghu.C,NTK,NTK+,0
Rishivandiyam,N,Villupuram,Muniyan,NTK,NTK+,0
Sankarapuram,N,Villupuram,Shankar,NTK,NTK+,0
Kallakurichi,S,Villupuram,Mariappan.C/K/.,NTK,NTK+,0
Gangavalli,S,Villupuram,Senthil Kumar.Po,NTK,NTK+,0
Attur,S,Salem,Sutheesh Babu.S,NTK,NTK+,0
Yercaud,S,Salem,Senkottu Vel.T,NTK,NTK+,0
Omalur,N,Salem,Ramesh,NTK,NTK+,0
Mettur,N,Salem,Venkatachalam,NTK,NTK+,0
Edappadi,N,Salem,Ramesh,NTK,NTK+,0
Sankari,N,Salem,Janaki,NTK,NTK+,0
Salem (West),N,Salem,Koventhan,NTK,NTK+,0
Salem (North),N,Salem,Raja Ammayappan,NTK,NTK+,0
Salem (South),N,Salem,Prema,NTK,NTK+,0
Veerapandi,N,Salem,Sasi Kumar,NTK,NTK+,0
Rasipuram,S,Namakkal,Arun,NTK,NTK+,0
Senthamangalam,S,Namakkal,Malar Kodi Anbhu Thambi,NTK,NTK+,0
Namakkal,N,Namakkal,Loganathan,NTK,NTK+,0
Paramathi-Velur,N,Namakkal,Deiva Sigamani,NTK,NTK+,0
Tiruchengodu,N,Namakkal,Natarajan,NTK,NTK+,0
Kumarapalayam,N,Erode,Arun Kumar.K,NTK,NTK+,0
Erode (East),N,Erode,Koothan,NTK,NTK+,0
Erode (West),N,Erode,Tamil Selvan,NTK,NTK+,0
Modakkurichi,N,Erode,Logu @ Prakash.K,NTK,NTK+,0
Dharapuram,S,Tiruppur,Pitchai Muthu,NTK,NTK+,0
Kangayam,N,Tiruppur,Shanmugam.P,NTK,NTK+,0
Perundurai,N,Erode,Loganathan.C,NTK,NTK+,0
Bhavani,N,Erode,Seetha Lakshmi,NTK,NTK+,0
Andhiyur,N,Tiruppur,Mani Megalai,NTK,NTK+,0
Gobichettipalayam,N,Tiruppur,Gowrisan,NTK,NTK+,0
Bhavanisagar,S,Erode,Sangeetha,NTK,NTK+,0
Udhagamandalam,N,Nilgiris,Jagan.R,NTK,NTK+,0
Gudalur,S,Nilgiris,Karmegam.S,NTK,NTK+,0
Coonoor,N,Nilgiris,Rama Swamy,NTK,NTK+,0
Mettuppalayam,N,Coimbatore,Tamil Selvan,NTK,NTK+,0
Avanashi,S,Tiruppur,Sumathi,NTK,NTK+,0
Tiruppur (North),N,Tiruppur,Siva Kumar.P,NTK,NTK+,0
Tiruppur (South),N,Tiruppur,Shanmuga Sundaram,NTK,NTK+,0
Palladam,N,Tiruppur,Vanmathi Velu Swamy,NTK,NTK+,0
Sulur,N,Coimbatore,Vijaya Ragavan,NTK,NTK+,0
Kavundampalayam,N,Coimbatore,Ponn Gowsalya,NTK,NTK+,0
Coimbatore North,N,Coimbatore,Balendhran,NTK,NTK+,0
Thondamuthur,N,Coimbatore,Aanantha Raj,NTK,NTK+,0
Singanallur,N,Coimbatore,Penjamin,NTK,NTK+,0
Coimbatore South,N,Coimbatore,Kalyana Sundaram,NTK,NTK+,0
Kinathukkadavu,N,Coimbatore,Selva Kumar,NTK,NTK+,0
Pollachi,N,Coimbatore,Uma Maheshwari,NTK,NTK+,0
Valparai,S,Coimbatore,Sarala,NTK,NTK+,0
Udumalpet,N,Tiruppur,Siva Kumar,NTK,NTK+,0
Madathukulam,N,Tiruppur,Ravi Shankar,NTK,NTK+,0
Palani,N,Dindigul,Vinod,NTK,NTK+,0
Oddamchatram,N,Dindigul,Selva Kumar,NTK,NTK+,0
Athoor,N,Dindigul,Mariya Guna Sekaran,NTK,NTK+,0
Nilakkottai,S,Dindigul,Sangili,NTK,NTK+,0
Natham,N,Dindigul,Siva Shankaran,NTK,NTK+,0
Dindigul,N,Dindigul,Ganeshan,NTK,NTK+,0
Vedasandur,N,Dindigul,Vetri,NTK,NTK+,0
Aravakurichi,N,Karur,Tamilan Aravind,NTK,NTK+,0
Karur,N,Karur,Nan Maran,NTK,NTK+,0
Krishnarajapuram,S,Karur,Thava Mani Padma Nabhan,NTK,NTK+,0
Kulithalai,N,Karur,Seeni Prakash,NTK,NTK+,0
Manapparai,N,Tiruchirappalli,Aruna Giri,NTK,NTK+,0
Srirangam,N,Tiruchirappalli,Kamal,NTK,NTK+,0
Tiruchirappalli (West),N,Tiruchirappalli,Sethu Manoharan,NTK,NTK+,0
Tiruchirappalli (East),N,Tiruchirappalli,Prabhu,NTK,NTK+,0
Thiruverumbur,N,Tiruchirappalli,Chola Suran,NTK,NTK+,0
Lalgudi,N,Tiruchirappalli,Sambath,NTK,NTK+,0
Manachanallur,N,Tiruchirappalli,Mani,NTK,NTK+,0
Musiri,N,Tiruchirappalli,Aasai Thambi,NTK,NTK+,0
Thuraiyur,S,Tiruchirappalli,Sathya,NTK,NTK+,0
Perambalur,S,Perambalur,Arun Kumar.,NTK,NTK+,0
Kunnam,N,Perambalur,Arul.P,NTK,NTK+,0
Ariyalur,N,Ariyalur,Thanga Manikkam,NTK,NTK+,0
Jayankondam,N,Ariyalur,Kumutha Vanan,NTK,NTK+,0
Tittakudi,S,Cuddalore,Oomai Thurai,NTK,NTK+,0
Vridhachalam,N,Cuddalore,Siva Rajan.A,NTK,NTK+,0
Neyveli,N,Cuddalore,Kalai Selvan,NTK,NTK+,0
Panruti,N,Cuddalore,Syed Batcha,NTK,NTK+,0
Cuddalore,N,Cuddalore,Senthamilan Seeman,NTK,NTK+,0
Kurinjipadi,N,Cuddalore,Kadal Dheeban,NTK,NTK+,0
Bhuvanagiri,N,Cuddalore,Rathna Vel,NTK,NTK+,0
Chidambaram,N,Cuddalore,Satheesh Kumar,NTK,NTK+,0
Kattumannarkoil,S,Cuddalore,Jaya Shree,NTK,NTK+,0
Sirkazhi,S,Nagapattinam,Jothi Bala Murali,NTK,NTK+,0
Mayuram,N,Nagapattinam,Sahul Hameed.C,NTK,NTK+,0
Poompuhar,N,Nagapattinam,Kaliya Perumal,NTK,NTK+,0
Nagapattinam,N,Nagapattinam,Thangam Niraintha Selvan,NTK,NTK+,0
Kilvelur,S,Nagapattinam,Palani Velu,NTK,NTK+,0
Vedaranyam,N,Nagapattinam,Rajendran.,NTK,NTK+,0
Thiruthuraipoondi,S,Thiruvarur,Saravana Kumar.P.R,NTK,NTK+,0
Mannargudi,N,Thiruvarur,Bala Murugan,NTK,NTK+,0
Thiruvarur,N,Thiruvarur,Thendral Chandra Sekar,NTK,NTK+,0
Nannilam,N,Thiruvarur,Anbhu Selvam,NTK,NTK+,0
Thiruvidaimarudur,S,Thanjavur,Sulochana Devi,NTK,NTK+,0
Kumbakonam,N,Thanjavur,Mani Senthil.M,NTK,NTK+,0
Papanasam,N,Thanjavur,Humayoon,NTK,NTK+,0
Thiruvaiyaru,N,Thanjavur,Shanmugam.,NTK,NTK+,0
Thanjavur,N,Thanjavur,Nalla Durai,NTK,NTK+,0
Orathanadu,N,Thanjavur,Kantha Swamy,NTK,NTK+,0
Pattukkottai,N,Thanjavur,Geetha,NTK,NTK+,0
Peravurani,N,Thanjavur,Diliban,NTK,NTK+,0
Gandharvakottai,S,Pudukkottai,Mohan Raj.C,NTK,NTK+,0
Viralimalai,N,Pudukkottai,Sridhar.KR,NTK,NTK+,0
Pudukkottai,N,Pudukkottai,Arun Mozhi Selvan,NTK,NTK+,0
Thirumaiyam,N,Pudukkottai,Kanaga Rathnam,NTK,NTK+,0
Alangudi,N,Pudukkottai,Tamil Selvi.M,NTK,NTK+,0
Aranthangi,N,Pudukkottai,Sakeela Bhanu,NTK,NTK+,0
Karaikudi,N,Sivaganga,Parimalam,NTK,NTK+,0
Tirupathur,N,Sivaganga,Aasai Selvam.K,NTK,NTK+,0
Sivaganga,N,Sivaganga,Kottai Kumar,NTK,NTK+,0
Manamadurai,S,Sivaganga,Sathya,NTK,NTK+,0
Melur,N,Madurai,Seeman,NTK,NTK+,0
Madurai East,N,Madurai,Senkannan,NTK,NTK+,0
Sholavandan,S,Madurai,Sakthi,NTK,NTK+,0
Madurai North,N,Madurai,Saral,NTK,NTK+,0
Madurai South,N,Madurai,Vijaya Kumar,NTK,NTK+,0
Madurai Central,N,Madurai,Vetri Kumaran,NTK,NTK+,0
Madurai West,N,Madurai,Thiru Navukkarasu,NTK,NTK+,0
Thirupparankundram,N,Madurai,Maha Devan,NTK,NTK+,0
Thirumangalam,N,Madurai,Mani Gandan Tamil Mani,NTK,NTK+,0
Usilampatti,N,Madurai,Ayunthu Kovilan,NTK,NTK+,0
Andipatti,N,Theni,Thambi Aananthan,NTK,NTK+,0
Periyakulam,S,Theni,Pushpa Latha,NTK,NTK+,0
Bodinayakkanur,N,Theni,Anbazhagan,NTK,NTK+,0
Cumbum,N,Theni,Jaya Paul,NTK,NTK+,0
Rajapalayam,N,Virudhunagar,Jaya Raj,NTK,NTK+,0
Srivilliputhur,S,Virudhunagar,Kalyana Sundaram,NTK,NTK+,0
Sattur,N,Virudhunagar,Nachiyar,NTK,NTK+,0
Sivakasi,N,Virudhunagar,Babu,NTK,NTK+,0
Virudhunagar,N,Virudhunagar,Akilan,NTK,NTK+,0
Aruppukkottai,N,Virudhunagar,Ravi Mariya,NTK,NTK+,0
Tiruchuli,N,Virudhunagar,Palani Swamy,NTK,NTK+,0
Paramakudi,S,Ramanathapuram,Hema Latha Pandiyan,NTK,NTK+,0
Tiruvadanai,N,Ramanathapuram,Arivu Selvan,NTK,NTK+,0
Ramanathapuram,N,Ramanathapuram,Kalanjiyam Siva Kumar,NTK,NTK+,0
Mudhukulathur,N,Ramanathapuram,Kadafi,NTK,NTK+,0
Vilathikulam,N,Thoothukkudi,Marutha Nayagam,NTK,NTK+,0
Thoothukkudi,N,Thoothukkudi,Judikema Bakiya Raj,NTK,NTK+,0
Tiruchendur,N,Thoothukkudi,Shoban Arul Vazhavan.A,NTK,NTK+,0
Srivaikuntam,N,Thoothukkudi,Subhaiya Pandiyan,NTK,NTK+,0
Ottapidaram,S,Thoothukkudi,Muthu Krishnan,NTK,NTK+,0
Kovilpatti,N,Thoothukkudi,Arun Kumar,NTK,NTK+,0
Sankarankovil,S,Tirunelveli,Amutha ,NTK,NTK+,0
Vasudevanallur,S,Tirunelveli,Palani Swamy,NTK,NTK+,0
Kadayanallur,N,Tirunelveli,Pasum Ponn,NTK,NTK+,0
Tenkasi,N,Tirunelveli,Muthu Kumar,NTK,NTK+,0
Alangulam,N,Tirunelveli,Vasanthi,NTK,NTK+,0
Tirunelveli,N,Tirunelveli,Viyanarasu,NTK,NTK+,0
Ambasamudram,N,Tirunelveli,Thennarasu,NTK,NTK+,0
Palayamkottai,N,Tirunelveli,Pattan,NTK,NTK+,0
Nanguneri,N,Tirunelveli,Kar Vannan,NTK,NTK+,0
Radhapuram,N,Tirunelveli,Lobin,NTK,NTK+,0
Kanniyakumari,N,Kanniyakumari,Bala Subramanian.V @ Karkadu Lemuriyan,NTK,NTK+,0
Nagercoil,N,Kanniyakumari,Dhanam,NTK,NTK+,0
Kollachal,N,Kanniyakumari,Prabhakaran,NTK,NTK+,0
Padmanabhapuram,N,Kanniyakumari,Arul Chelastin,NTK,NTK+,0
Vilavancode,N,Kanniyakumari,Mani Gandan.Ponn,NTK,NTK+,0
Killiyoor,N,Kanniyakumari,Rathinamma Susai Adimai,NTK,NTK+,0
