Date,Chrome,Firefox,MSIE,Others,Safari
15-09-2015,611,62,318,12,276
16-09-2015,274,215,733,0,499
17-09-2015,405,71,323,1,225
18-09-2015,152,183,395,2,365
19-09-2015,409,617,205,0,318
24-09-2015,288,66,174,0,400
25-09-2015,316,44,252,0,164
26-09-2015,317,782,300,2,525
27-09-2015,526,82,342,2,152
28-09-2015,460,16,255,0,253
29-09-2015,322,449,425,0,263
30-09-2015,409,131,213,0,115
01-10-2015,230,69,241,0,263
02-10-2015,540,60,428,1,187
03-10-2015,208,79,347,17,176
04-10-2015,802,162,534,0,688
05-10-2015,660,36,124,0,308
06-10-2015,1082,852,1348,20,1618
07-10-2015,470,59,355,0,496
08-10-2015,287,47,275,1,290
10-10-2015,536,53,367,1,319
11-10-2015,549,200,148,3,412
12-10-2015,653,109,177,6,504
13-10-2015,581,172,374,2,301
14-10-2015,70,6,4,0,1